[2026-06-08 09:47:32,933][HYDRA] Joblib.Parallel(n_jobs=72,backend=loky,prefer=processes,require=None,verbose=0,timeout=None,pre_dispatch=2*n_jobs,batch_size=auto,temp_folder=None,max_nbytes=None,mmap_mode=r) is launching 360 jobs
[2026-06-08 09:47:32,933][HYDRA] Launching jobs, sweep output dir : multirun/2026-06-08/09-47-15
[2026-06-08 09:47:32,933][HYDRA] 	#0 : GENERAL.seed=1 DATA.N=20 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#1 : GENERAL.seed=1 DATA.N=20 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#2 : GENERAL.seed=1 DATA.N=20 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#3 : GENERAL.seed=1 DATA.N=20 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#4 : GENERAL.seed=1 DATA.N=40 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#5 : GENERAL.seed=1 DATA.N=40 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#6 : GENERAL.seed=1 DATA.N=40 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#7 : GENERAL.seed=1 DATA.N=40 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#8 : GENERAL.seed=1 DATA.N=80 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#9 : GENERAL.seed=1 DATA.N=80 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#10 : GENERAL.seed=1 DATA.N=80 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#11 : GENERAL.seed=1 DATA.N=80 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#12 : GENERAL.seed=1 DATA.N=160 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#13 : GENERAL.seed=1 DATA.N=160 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#14 : GENERAL.seed=1 DATA.N=160 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#15 : GENERAL.seed=1 DATA.N=160 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#16 : GENERAL.seed=1 DATA.N=320 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#17 : GENERAL.seed=1 DATA.N=320 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#18 : GENERAL.seed=1 DATA.N=320 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#19 : GENERAL.seed=1 DATA.N=320 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#20 : GENERAL.seed=1 DATA.N=640 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#21 : GENERAL.seed=1 DATA.N=640 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#22 : GENERAL.seed=1 DATA.N=640 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#23 : GENERAL.seed=1 DATA.N=640 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#24 : GENERAL.seed=1 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#25 : GENERAL.seed=1 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#26 : GENERAL.seed=1 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#27 : GENERAL.seed=1 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#28 : GENERAL.seed=1 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#29 : GENERAL.seed=1 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#30 : GENERAL.seed=1 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#31 : GENERAL.seed=1 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#32 : GENERAL.seed=1 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#33 : GENERAL.seed=1 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#34 : GENERAL.seed=1 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#35 : GENERAL.seed=1 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#36 : GENERAL.seed=2 DATA.N=20 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#37 : GENERAL.seed=2 DATA.N=20 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#38 : GENERAL.seed=2 DATA.N=20 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#39 : GENERAL.seed=2 DATA.N=20 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#40 : GENERAL.seed=2 DATA.N=40 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,933][HYDRA] 	#41 : GENERAL.seed=2 DATA.N=40 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#42 : GENERAL.seed=2 DATA.N=40 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#43 : GENERAL.seed=2 DATA.N=40 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#44 : GENERAL.seed=2 DATA.N=80 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#45 : GENERAL.seed=2 DATA.N=80 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#46 : GENERAL.seed=2 DATA.N=80 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#47 : GENERAL.seed=2 DATA.N=80 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#48 : GENERAL.seed=2 DATA.N=160 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#49 : GENERAL.seed=2 DATA.N=160 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
