dataset,N,seed,p_err,non_equivariance,val_acc,val_aug_acc,training_time,epoch_time
nwpu,20,1,0,3,0.3999999998,0.449999999775,234.4272644519806,2.9303408056497573
nwpu,20,1,0,3,0.49999999975,0.449999999775,297.3010575771332,3.7162632197141647
eurosat,20,1,0,3,0.3999999998,0.3999999998,300.77926778793335,3.7597408473491667
mnist,20,1,0,3,0.5999999997,0.549999999725,302.52237129211426,3.7815296411514283
mnist,20,1,0,3,0.8499999995749999,0.749999999625,306.5367588996887,3.831709486246109
mnist,20,1,0,3,0.8499999995749999,0.6999999996499999,308.848477602005,3.8606059700250626
eurosat,20,1,0,3,0.3999999998,0.3999999998,325.7153513431549,4.071441891789436
eurosat,20,1,0,3,0.3999999998,0.3999999998,332.29123973846436,4.153640496730804
nwpu,20,1,0,3,0.549999999725,0.549999999725,336.7472538948059,4.209340673685074
eurosat,20,1,0,4,0.3999999998,0.3999999998,377.72635078430176,4.721579384803772
nwpu,20,1,0,4,0.3999999998,0.3999999998,386.8337297439575,4.835421621799469
mnist,20,1,0,4,0.549999999725,0.549999999725,392.96591806411743,4.9120739758014675
nwpu,20,1,0,4,0.29999999985,0.29999999985,407.46561074256897,5.093320134282112
mnist,20,1,0,4,0.549999999725,0.549999999725,418.6799280643463,5.233499100804329
eurosat,20,1,0,4,0.3999999998,0.3999999998,419.9170663356781,5.248963329195976
eurosat,20,1,0,4,0.3999999998,0.3999999998,421.4478259086609,5.268097823858261
mnist,20,1,0,4,0.549999999725,0.549999999725,421.8998281955719,5.273747852444648
nwpu,20,1,0,4,0.3999999998,0.3999999998,436.3042631149292,5.453803288936615
nwpu,40,1,0,3,0.42499999989375,0.42499999989375,525.0964996814728,6.56370624601841
nwpu,40,1,0,3,0.3999999999,0.3999999999,535.9657547473907,6.6995719343423845
nwpu,40,1,0,3,0.37499999990625,0.37499999990625,536.4700312614441,6.7058753907680515
mnist,40,1,0,3,0.52499999986875,0.52499999986875,548.1305847167969,6.851632308959961
eurosat,40,1,0,3,0.499999999875,0.499999999875,550.5995743274689,6.8824946790933605
mnist,40,1,0,3,0.92499999976875,0.8499999997875,552.2131958007812,6.9026649475097654
mnist,40,1,0,3,0.499999999875,0.499999999875,570.3534004688263,7.129417505860329
eurosat,40,1,0,3,0.499999999875,0.499999999875,574.7511670589447,7.184389588236809
eurosat,40,1,0,3,0.499999999875,0.499999999875,618.1840291023254,7.727300363779068
nwpu,40,1,0,4,0.37499999990625,0.37499999990625,620.5908522605896,7.75738565325737
mnist,40,1,0,4,0.499999999875,0.499999999875,725.047066450119,9.063088330626488
eurosat,40,1,0,4,0.499999999875,0.499999999875,754.3587067127228,9.429483833909035
mnist,40,1,0,4,0.499999999875,0.499999999875,635.9787137508392,7.949733921885491
nwpu,40,1,0,4,0.37499999990625,0.37499999990625,661.4641237258911,8.268301546573639
eurosat,40,1,0,4,0.499999999875,0.499999999875,684.5063133239746,8.556328916549683
eurosat,40,1,0,4,0.499999999875,0.499999999875,768.7841341495514,9.609801676869392
nwpu,40,1,0,4,0.37499999990625,0.37499999990625,837.4932036399841,10.468665045499801
mnist,40,1,0,4,0.499999999875,0.499999999875,849.2709257602692,10.615886572003365
nwpu,80,1,0,3,0.54999999993125,0.5374999999328125,951.623284816742,11.895291060209274
mnist,80,1,0,3,0.7874999999015626,0.64999999991875,1029.8420114517212,12.873025143146515
eurosat,80,1,0,3,0.42499999994687504,0.42499999994687504,1026.3546521663666,12.829433152079583
eurosat,80,1,0,3,0.42499999994687504,0.42499999994687504,1018.0634183883667,12.725792729854584
eurosat,80,1,0,3,0.42499999994687504,0.42499999994687504,1094.8788568973541,13.685985711216926
nwpu,80,1,0,3,0.5874999999265625,0.5124999999359375,1091.2848234176636,13.641060292720795
mnist,80,1,0,3,0.8499999998937501,0.7624999999046875,1158.961757659912,14.487021970748902
mnist,80,1,0,3,0.9124999998859376,0.7499999999062501,1195.095834493637,14.938697931170463
nwpu,80,1,0,3,0.5624999999296876,0.5249999999343751,1195.3252260684967,14.941565325856208
mnist,80,1,0,4,0.4874999999390625,0.4874999999390625,1344.3598093986511,16.80449761748314
nwpu,80,1,0,4,0.4874999999390625,0.4874999999390625,1296.409692287445,16.205121153593062
eurosat,80,1,0,4,0.42499999994687504,0.42499999994687504,1393.1368856430054,17.41421107053757
nwpu,80,1,0,4,0.5124999999359375,0.5124999999359375,1481.8369555473328,18.52296194434166
mnist,80,1,0,4,0.5999999999250001,0.5999999999250001,1472.657574415207,18.408219680190086
eurosat,80,1,0,4,0.42499999994687504,0.42499999994687504,1500.8263761997223,18.760329702496527
eurosat,80,1,0,4,0.42499999994687504,0.42499999994687504,1532.1162745952606,19.151453432440757
mnist,80,1,0,4,0.54999999993125,0.54999999993125,1539.9248914718628,19.249061143398286
nwpu,80,1,0,4,0.5374999999328125,0.5374999999328125,1577.501929283142,19.718774116039278
mnist,160,1,0,3,0.7812499999511718,0.6187499999613281,1917.917561531067,23.973969519138336
nwpu,160,1,0,3,0.5312499999667969,0.5187499999675781,1995.2575979232788,24.940719974040984
eurosat,160,1,0,3,0.4749999999703125,0.4749999999703125,1957.035652399063,24.46294565498829
mnist,160,1,0,3,0.7812499999511718,0.6562499999589844,2014.5114130973816,25.18139266371727
mnist,160,1,0,3,0.8624999999460937,0.7124999999554688,1816.8291838169098,22.71036479771137
eurosat,160,1,0,3,0.4749999999703125,0.4749999999703125,1803.6807606220245,22.546009507775306
nwpu,160,1,0,3,0.4687499999707031,0.48124999996992185,1845.1925325393677,23.064906656742096
eurosat,160,1,0,3,0.4749999999703125,0.4749999999703125,2361.3250184059143,29.51656273007393
nwpu,160,1,0,3,0.5249999999671875,0.5062499999683594,2397.772684574127,29.97215855717659
eurosat,160,1,0,4,0.4749999999703125,0.4749999999703125,2390.9953529834747,29.887441912293433
mnist,160,1,0,4,0.5124999999679687,0.5124999999679687,2750.2666833400726,34.378333541750905
mnist,160,1,0,4,0.5249999999671875,0.5249999999671875,2652.8511209487915,33.16063901185989
nwpu,160,1,0,4,0.549999999965625,0.549999999965625,2921.3617825508118,36.51702228188515
nwpu,160,1,0,4,0.549999999965625,0.549999999965625,2924.9338161945343,36.56167270243168
eurosat,160,1,0,4,0.48749999996953125,0.48749999996953125,2959.8424849510193,36.998031061887744
mnist,160,1,0,4,0.5437499999660156,0.5437499999660156,3119.506158351898,38.993826979398726
nwpu,160,1,0,4,0.5437499999660156,0.5437499999660156,3111.431004047394,38.89288755059242
eurosat,160,1,0,4,0.4749999999703125,0.4749999999703125,3237.1990299224854,40.46498787403107
nwpu,320,1,0,3,0.59499999997025,0.59499999997025,3729.841059923172,46.62301324903965
eurosat,320,1,0,3,0.4593749999856445,0.45624999998574217,3775.5424070358276,47.194280087947845
mnist,320,1,0,3,0.9249999999710937,0.7468749999766602,3899.776337623596,48.747204220294954
eurosat,320,1,0,3,0.45624999998574217,0.4593749999856445,4235.800449132919,52.94750561416149
eurosat,320,1,0,3,0.6812499999787109,0.6687499999791016,3865.7085802555084,48.32135725319385
mnist,320,1,0,3,0.9499999999703125,0.818749999974414,4407.012814044952,55.08766017556191
nwpu,320,1,0,3,0.57499999997125,0.559999999972,4457.083406448364,55.71354258060455
nwpu,320,1,0,3,0.55499999997225,0.55499999997225,4120.0354833602905,51.50044354200363
mnist,320,1,0,3,0.9531249999702148,0.8218749999743163,4528.940120220184,56.611751502752305
eurosat,320,1,0,4,0.4499999999859375,0.4499999999859375,5322.975645065308,66.53719556331635
mnist,320,1,0,4,0.5937499999814453,0.5937499999814453,5533.881485939026,69.17351857423782
nwpu,320,1,0,4,0.6899999999655,0.6899999999655,5727.155170679092,71.58943963348865
nwpu,320,1,0,4,0.719999999964,0.719999999964,5312.74249458313,66.40928118228912
eurosat,320,1,0,4,0.4499999999859375,0.4499999999859375,5367.34791469574,67.09184893369675
nwpu,320,1,0,4,0.63499999996825,0.63499999996825,5554.4410717487335,69.43051339685917
mnist,320,1,0,4,0.8468749999735351,0.8468749999735351,5674.689554929733,70.93361943662167
eurosat,320,1,0,4,0.4499999999859375,0.4499999999859375,5838.519446134567,72.98149307668209
mnist,320,1,0,4,0.818749999974414,0.818749999974414,6239.2775638103485,77.99096954762936
eurosat,640,1,0,3,0.5187499999918945,0.5124999999919921,7706.496801376343,96.33121001720428
mnist,640,1,0,3,0.9562499999850586,0.7749999999878906,8231.764874458313,102.89706093072891
eurosat,640,1,0,3,0.5218749999918457,0.5140624999919677,7308.456100702286,91.35570125877857
mnist,640,1,0,3,0.8656249999864746,0.7031249999890137,7790.059116840363,97.37573896050453
nwpu,640,1,0,3,0.6749999999662499,0.6699999999665,7713.16201543808,96.414525192976
nwpu,640,1,0,3,0.56499999997175,0.57499999997125,8100.568640470505,101.2571080058813
eurosat,640,1,0,3,0.5031249999921387,0.5031249999921387,7942.584928035736,99.2823116004467
mnist,640,1,0,3,0.9609374999849853,0.8046874999874267,8374.532940387726,104.68166175484657
nwpu,640,1,0,3,0.60499999996975,0.62499999996875,9519.752024412155,118.99690030515194
mnist,20,2,0,3,0.5999999997,0.549999999725,304.2588212490082,3.803235265612602
nwpu,20,2,0,3,0.449999999775,0.449999999775,296.51756405830383,3.706469550728798
eurosat,20,2,0,3,0.3999999998,0.3999999998,292.2970714569092,3.6537133932113646
mnist,20,2,0,3,0.749999999625,0.649999999675,312.61765336990356,3.9077206671237947
nwpu,20,2,0,3,0.449999999775,0.3999999998,298.69465923309326,3.733683240413666
eurosat,20,2,0,3,0.3999999998,0.3999999998,295.46858644485474,3.6933573305606844
mnist,20,2,0,3,0.8499999995749999,0.749999999625,307.11792635917664,3.838974079489708
nwpu,20,2,0,3,0.749999999625,0.6999999996499999,294.4450671672821,3.680563339591026
eurosat,20,2,0,3,0.3999999998,0.3999999998,297.6809232234955,3.7210115402936936
mnist,20,2,0,4,0.549999999725,0.549999999725,371.51734590530396,4.643966823816299
nwpu,20,2,0,4,0.34999999982499996,0.34999999982499996,377.79662346839905,4.722457793354988
eurosat,20,2,0,4,0.3999999998,0.3999999998,370.7883152961731,4.634853941202164
mnist,20,2,0,4,0.549999999725,0.549999999725,394.23712849617004,4.9279641062021255
nwpu,20,2,0,4,0.449999999775,0.449999999775,397.9731676578522,4.974664595723152
eurosat,20,2,0,4,0.3999999998,0.3999999998,389.5821659564972,4.8697770744562145
mnist,20,2,0,4,0.549999999725,0.549999999725,410.15137672424316,5.1268922090530396
nwpu,20,2,0,4,0.449999999775,0.449999999775,417.77454113960266,5.222181764245033
eurosat,20,2,0,4,0.3999999998,0.3999999998,408.7394802570343,5.109243503212928
eurosat,640,1,0,4,0.5218749999918457,0.5218749999918457,10181.761908531189,127.27202385663986
mnist,40,2,0,3,0.499999999875,0.499999999875,586.5945539474487,7.332431924343109
nwpu,40,2,0,3,0.3999999999,0.3999999999,594.4089949131012,7.430112436413765
eurosat,40,2,0,3,0.499999999875,0.499999999875,583.4051985740662,7.292564982175827
nwpu,640,1,0,4,0.63499999996825,0.63499999996825,10821.113379478455,135.26391724348068
mnist,40,2,0,3,0.52499999986875,0.52499999986875,470.16662096977234,5.877082762122154
mnist,640,1,0,4,0.618749999990332,0.618749999990332,10884.425367832184,136.0553170979023
nwpu,40,2,0,3,0.37499999990625,0.37499999990625,592.8079047203064,7.41009880900383
eurosat,40,2,0,3,0.499999999875,0.499999999875,588.4948930740356,7.356186163425446
mnist,40,2,0,3,0.77499999980625,0.7499999998125,596.4433722496033,7.4555421531200405
nwpu,40,2,0,3,0.42499999989375,0.42499999989375,603.6566903591156,7.545708629488945
eurosat,40,2,0,3,0.499999999875,0.499999999875,481.14310455322266,6.014288806915284
nwpu,640,1,0,4,0.6449999999677499,0.6449999999677499,10604.16767859459,132.55209598243238
mnist,40,2,0,4,0.499999999875,0.499999999875,732.7274315357208,9.15909289419651
nwpu,40,2,0,4,0.37499999990625,0.37499999990625,738.3378372192383,9.229222965240478
eurosat,40,2,0,4,0.499999999875,0.499999999875,758.1859486103058,9.477324357628822
mnist,40,2,0,4,0.499999999875,0.499999999875,777.5544219017029,9.719430273771286
eurosat,40,2,0,4,0.499999999875,0.499999999875,644.1249625682831,8.051562032103538
nwpu,40,2,0,4,0.37499999990625,0.37499999990625,822.3377161026001,10.2792214512825
mnist,640,1,0,4,0.8703124999864014,0.8703124999864014,11357.524857521057,141.9690607190132
mnist,40,2,0,4,0.499999999875,0.499999999875,837.2617483139038,10.465771853923798
eurosat,640,1,0,4,0.5218749999918457,0.5218749999918457,11247.279154539108,140.59098943173885
nwpu,40,2,0,4,0.37499999990625,0.37499999990625,817.8178970813751,10.222723713517189
eurosat,40,2,0,4,0.499999999875,0.499999999875,823.7246825695038,10.296558532118798
eurosat,80,2,0,3,0.42499999994687504,0.42499999994687504,869.678385257721,10.870979815721512
mnist,640,1,0,4,0.9140624999857178,0.9140624999857178,11743.389303445816,146.7923662930727
nwpu,640,1,0,4,0.6149999999692499,0.6149999999692499,11822.21025276184,147.777628159523
mnist,80,2,0,3,0.7874999999015626,0.64999999991875,1198.9232711791992,14.98654088973999
nwpu,80,2,0,3,0.5374999999328125,0.47499999994062503,1188.220454454422,14.852755680680275
mnist,80,2,0,3,0.9249999998843751,0.724999999909375,1043.5458686351776,13.04432335793972
nwpu,80,2,0,3,0.5874999999265625,0.5374999999328125,890.0659158229828,11.125823947787286
mnist,80,2,0,3,0.6874999999140625,0.6374999999203126,1069.608508348465,13.370106354355812
eurosat,80,2,0,3,0.42499999994687504,0.42499999994687504,1198.9893276691437,14.987366595864296
nwpu,80,2,0,3,0.5999999999250001,0.5249999999343751,1195.2409498691559,14.940511873364448
eurosat,80,2,0,3,0.47499999994062503,0.49999999993750005,1132.1382060050964,14.151727575063706
eurosat,640,1,0,4,0.5234374999918213,0.5234374999918213,12375.529578447342,154.69411973059178
mnist,80,2,0,4,0.4874999999390625,0.4874999999390625,1177.0144667625427,14.712680834531785
nwpu,80,2,0,4,0.4874999999390625,0.4874999999390625,1210.1181480884552,15.12647685110569
eurosat,80,2,0,4,0.42499999994687504,0.42499999994687504,1343.049659729004,16.78812074661255
mnist,80,2,0,4,0.49999999993750005,0.49999999993750005,1329.9872708320618,16.624840885400772
eurosat,80,2,0,4,0.42499999994687504,0.42499999994687504,1442.8450441360474,18.035563051700592
nwpu,80,2,0,4,0.5124999999359375,0.5124999999359375,1554.0291209220886,19.425364011526106
mnist,80,2,0,4,0.6124999999234375,0.6124999999234375,1586.5220890045166,19.831526112556457
nwpu,80,2,0,4,0.5249999999343751,0.5249999999343751,1452.5358877182007,18.156698596477508
eurosat,80,2,0,4,0.42499999994687504,0.42499999994687504,1686.8059055805206,21.08507381975651
eurosat,160,2,0,3,0.48124999996992185,0.48124999996992185,2110.501046895981,26.38126308619976
mnist,160,2,0,3,0.7749999999515624,0.6249999999609375,1904.0513129234314,23.80064141154289
mnist,160,2,0,3,0.7812499999511718,0.6562499999589844,2366.535225391388,29.58169031739235
nwpu,160,2,0,3,0.5249999999671875,0.48124999996992185,2305.964422225952,28.824555277824402
nwpu,160,2,0,3,0.5312499999667969,0.49999999996875,1860.2468540668488,23.25308567583561
mnist,1280,1,0,3,0.959374999992505,0.7914062499938173,14841.28265619278,185.51603320240974
mnist,160,2,0,3,0.8624999999460937,0.7124999999554688,1795.1619772911072,22.43952471613884
eurosat,160,2,0,3,0.549999999965625,0.5312499999667969,2200.901976585388,27.51127470731735
nwpu,160,2,0,3,0.48124999996992185,0.42499999997343746,2052.5750164985657,25.657187706232072
nwpu,1280,1,0,3,0.6449999999677499,0.65499999996725,15469.8475420475,193.37309427559376
eurosat,160,2,0,3,0.5937499999628906,0.6062499999621094,2372.696856737137,29.658710709214212
nwpu,1280,1,0,3,0.62499999996875,0.6149999999692499,14087.066087722778,176.08832609653473
nwpu,160,2,0,4,0.5562499999652344,0.5562499999652344,2589.6123988628387,32.37015498578548
eurosat,1280,1,0,3,0.479999999996,0.47916666666267366,15511.933966636658,193.8991745829582
mnist,160,2,0,4,0.5124999999679687,0.5124999999679687,2989.515913963318,37.36894892454147
eurosat,160,2,0,4,0.4749999999703125,0.4749999999703125,2935.1807408332825,36.68975926041603
mnist,1280,1,0,3,0.9624999999924806,0.7593749999940674,15548.642805576324,194.35803506970404
