epoch,train_loss,val_loss,train_acc,val_acc
0,0.7356254626541654,0.7063868504748427,0.15,0.35
1,0.6754404301116582,0.6782564685754198,0.75,0.65
2,0.659662291293753,0.6747572755959979,0.8,0.65
3,0.6574244525723654,0.6731521011017662,0.8,0.7
4,0.6555768548512375,0.6714785727829151,0.8,0.7
5,0.6541376566141341,0.6697125729148763,0.8,0.75
6,0.6527173084045301,0.6680903419103104,0.8,0.75
7,0.6512421703144372,0.6666695628430024,0.8,0.75
8,0.6500941328388671,0.6653767011330363,0.8,0.8
9,0.6489194261235233,0.66362177813588,0.8,0.8
10,0.6476875504864268,0.6626714455400663,0.8,0.8
11,0.6466464917912165,0.6613604989912594,0.8,0.8
12,0.6455584661547823,0.6602588200092818,0.8,0.8
13,0.6442223508667786,0.6594337660480208,0.8,0.75
14,0.642567941022152,0.6579456918810438,0.8,0.7
15,0.6405213930129987,0.656374400121865,0.8,0.8
16,0.6383370891536251,0.6542202784987771,0.7,0.85
17,0.635932390731747,0.6513470045,0.7,0.9
18,0.633260886402187,0.648683241747038,0.7,0.85
19,0.6314286326418859,0.6462588937590376,0.8,0.85
20,0.6297712464063658,0.6444142714829161,0.8,0.85
21,0.6291516501998868,0.642437397213157,0.8,0.85
22,0.6287051716394877,0.6413034753748031,0.8,0.85
23,0.6278893302712685,0.6406681896615168,0.8,0.85
24,0.6274839429901066,0.6402680562275862,0.8,0.85
25,0.6277022973937025,0.6393231415363156,0.8,0.85
26,0.6272252919824536,0.6390831025170631,0.8,0.85
27,0.6269809847924275,0.6386168894071157,0.8,0.85
28,0.6270174496514669,0.6380496510118356,0.8,0.85
29,0.6267184450855992,0.6381292552222126,0.8,0.85
30,0.6267028138790631,0.6377723167609699,0.8,0.85
31,0.6261447306962301,0.637172245948636,0.8,0.85
32,0.6262211080969149,0.636961571829658,0.8,0.85
33,0.6259976226558795,0.6371573843529632,0.8,0.85
34,0.6256167328541795,0.6366934803663999,0.8,0.85
35,0.6256543595587125,0.6363488327555891,0.8,0.85
36,0.6253117451537099,0.6364041076119265,0.8,0.85
37,0.624986564672265,0.6359145667121029,0.8,0.85
38,0.6251775662640282,0.6354636135891782,0.8,0.85
39,0.6252515421126942,0.6355281327311457,0.8,0.85
