dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_time,last_loss
aug_mnist,20,1.0,0.0,3.0,3.0,0.7999999996,0.49999999975,345.1659195423126,5.7527653257052105,15.0,0.6095052555136143
aug_mnist,20,1.0,0.0,3.0,2.0,0.749999999625,0.549999999725,420.4597022533417,7.007661704222361,5.0,0.6610924586328479
aug_mnist,20,1.0,0.0,3.0,1.0,0.89999999955,0.5999999997,468.2368173599243,7.803946955998739,11.0,0.6529031994654566
aug_mnist,20,1.0,0.0,4.0,1.0,0.49999999975,0.49999999975,562.578738451004,9.376312307516734,5.0,0.6771784457158694
aug_mnist,40,1.0,0.0,3.0,1.0,0.899999999775,0.6499999998375,562.9465873241425,9.38244312206904,20.0,0.6434908167899253
aug_mnist,20,1.0,0.0,4.0,2.0,0.6999999996499999,0.6999999996499999,589.7830350399017,9.829717250665029,28.0,0.6531254157138578
aug_mnist,20,1.0,0.0,4.0,3.0,0.7999999996,0.7999999996,618.9896106719971,10.316493511199951,11.0,0.6244911649680964
aug_mnist,40,1.0,0.0,3.0,2.0,0.899999999775,0.6499999998375,678.4788026809692,11.30798004468282,33.0,0.6435318158448238
aug_mnist,40,1.0,0.0,3.0,3.0,0.99999999975,0.7499999998125,689.3934586048126,11.489890976746876,14.0,0.6081541441350709
aug_mnist,40,1.0,0.0,4.0,1.0,0.7499999998125,0.7499999998125,809.7588815689087,13.495981359481812,10.0,0.6822189174377064
aug_mnist,80,1.0,0.0,3.0,2.0,0.5999999999250001,0.6124999999234375,873.9390811920166,14.565651353200275,11.0,0.6501392035863733
aug_mnist,40,1.0,0.0,4.0,3.0,0.87499999978125,0.87499999978125,945.2632234096528,15.754387056827545,15.0,0.6435363767922408
aug_mnist,40,1.0,0.0,4.0,2.0,0.7999999998,0.7999999998,1085.9355363845823,18.098925606409708,19.0,0.670585133861742
aug_mnist,80,1.0,0.0,3.0,3.0,0.94999999988125,0.7749999999031251,1196.4697868824005,19.94116311470668,21.0,0.5932789468023661
aug_mnist,80,1.0,0.0,3.0,1.0,0.9874999998765626,0.6874999999140625,1281.5105228424072,21.35850871404012,7.0,0.638378054419829
aug_mnist,80,1.0,0.0,4.0,1.0,0.6374999999203126,0.6374999999203126,1404.8438396453855,23.41406399408976,11.0,0.6584299390685064
aug_mnist,80,1.0,0.0,4.0,3.0,0.7999999999,0.7999999999,1760.9491658210754,29.34915276368459,11.0,0.6228877788003511
aug_mnist,80,1.0,0.0,4.0,2.0,0.8624999998921876,0.8624999998921876,1958.6089782714844,32.6434829711914,13.0,0.6547977983133072
aug_mnist,160,1.0,0.0,3.0,1.0,0.9312499999417968,0.6687499999582031,2488.516884326935,41.47528140544891,5.0,0.64588000233905
aug_mnist,160,1.0,0.0,3.0,3.0,0.9687499999394532,0.7249999999546874,2506.537933111191,41.775632218519846,16.0,0.6061390018084298
aug_mnist,160,1.0,0.0,3.0,2.0,0.9374999999414062,0.649999999959375,2802.0722484588623,46.70120414098104,16.0,0.6439915942743257
aug_mnist,160,1.0,0.0,4.0,1.0,0.6874999999570313,0.6874999999570313,2975.8176600933075,49.59696100155512,23.0,0.664668888408127
aug_mnist,160,1.0,0.0,4.0,2.0,0.8874999999445312,0.8874999999445312,3243.7644140720367,54.06274023453395,24.0,0.6559441971368905
aug_mnist,160,1.0,0.0,4.0,3.0,0.9249999999421874,0.9249999999421874,3376.6584661006927,56.27764110167821,16.0,0.6282191854322711
aug_mnist,320,1.0,0.0,3.0,1.0,0.9749999999695312,0.6312499999802734,4390.557058334351,73.17595097223918,14.0,0.6370032131472843
aug_mnist,320,1.0,0.0,3.0,2.0,0.9249999999710936,0.5937499999814453,5060.278998851776,84.33798331419626,16.0,0.6345529758731908
aug_mnist,320,1.0,0.0,3.0,3.0,0.9656249999698242,0.6749999999789063,5428.1360721588135,90.46893453598022,9.0,0.5971921038441002
