epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,phi
0,-0.5566434264183044,-0.36132359504699707,-0.5504450798034668,-0.5670969486236572,0.5157919526100159,-0.5487747192382812,0.5162288546562195,0.4886191785335541,-0.43697115778923035,0.34914854168891907,0.5487105846405029,0.16897213459014893,-0.5820811986923218,0.12390634417533875,-0.5388491749763489,-0.4382425844669342,0.0
1,-0.8491663336753845,0.3996325135231018,-1.0090230703353882,-0.927912712097168,0.9043565392494202,-0.891839861869812,0.913911759853363,0.8489611148834229,-0.745104968547821,0.31427252292633057,1.078635573387146,-0.07230716198682785,-1.0102132558822632,0.0702013298869133,-0.8072183132171631,-0.8063660860061646,0.0
2,-1.1922262907028198,1.001930832862854,-1.387848138809204,-1.0224189758300781,0.9024178385734558,-1.173675537109375,0.9410497546195984,0.7892692685127258,-0.8736076354980469,0.16750219464302063,1.5634394884109497,-0.25693872570991516,-1.3103333711624146,0.5379025340080261,-0.6442680954933167,-0.8547447919845581,0.0
3,-1.4306474924087524,1.4104032516479492,-1.575255274772644,-1.3056408166885376,1.0380535125732422,-1.2727645635604858,0.7421172261238098,0.6535301208496094,-0.9053846001625061,-0.025213725864887238,1.9553910493850708,-0.5590656995773315,-1.0454754829406738,0.8488703966140747,-0.4192502200603485,-0.9346117377281189,0.0
4,-1.5295238494873047,1.51785409450531,-1.5934423208236694,-1.5299574136734009,1.3226357698440552,-1.3215618133544922,0.5787626504898071,0.4949449896812439,-0.9026930928230286,-0.26061156392097473,2.356348752975464,-0.9827929735183716,-0.8365025520324707,1.0825557708740234,-0.17644330859184265,-1.1099153757095337,0.0
5,-1.5596872568130493,1.5599184036254883,-1.5697863101959229,-1.5739516019821167,1.5230398178100586,-1.4446183443069458,0.45920422673225403,0.3425619602203369,-0.8847423791885376,-0.4748488664627075,2.6324517726898193,-1.3092625141143799,-0.6916232109069824,1.1930979490280151,0.0005583483725786209,-1.2819483280181885,0.0
6,-1.5699025392532349,1.5700271129608154,-1.5703561305999756,-1.5726439952850342,1.614179253578186,-1.4963607788085938,0.43494713306427,0.20411217212677002,-0.8999812006950378,-0.6328582167625427,2.6862776279449463,-1.4771984815597534,-0.6792092323303223,1.14397394657135,0.13119357824325562,-1.4500012397766113,0.0
7,-1.5708134174346924,1.5709209442138672,-1.5709574222564697,-1.5701006650924683,1.6235042810440063,-1.5962343215942383,0.37516850233078003,0.040568988770246506,-0.9074540734291077,-0.7140583992004395,2.772967576980591,-1.5377625226974487,-0.6114940047264099,1.129651665687561,0.23081079125404358,-1.4965715408325195,0.0
8,-1.5707465410232544,1.570599913597107,-1.5712132453918457,-1.5707148313522339,1.710229754447937,-1.5812748670578003,0.44917282462120056,-0.09109414368867874,-0.956875205039978,-0.7595008015632629,2.719346761703491,-1.5618911981582642,-0.6782145500183105,0.9781548380851746,0.35323429107666016,-1.6044201850891113,0.0
9,-1.5707435607910156,1.570725679397583,-1.5708726644515991,-1.5707226991653442,1.6422691345214844,-1.7210018634796143,0.5063209533691406,-0.2155747413635254,-0.9109639525413513,-0.7919266223907471,2.8064212799072266,-1.568594217300415,-0.6116761565208435,0.9091787934303284,0.3302385210990906,-1.5865083932876587,0.0
10,-1.5707803964614868,1.570774793624878,-1.5708086490631104,-1.5707647800445557,1.6757186651229858,-1.7247519493103027,0.548722505569458,-0.3259632885456085,-0.8702605366706848,-0.8448256254196167,2.884798288345337,-1.5703567266464233,-0.5701165199279785,0.8816922307014465,0.3358447253704071,-1.558552861213684,0.0
11,-1.570791482925415,1.5707924365997314,-1.570797085762024,-1.570797324180603,1.6468205451965332,-1.7394628524780273,0.6051807999610901,-0.4293859004974365,-0.8175573348999023,-0.8744065761566162,2.959070920944214,-1.5707112550735474,-0.5237804651260376,0.879012942314148,0.26311737298965454,-1.5180675983428955,0.0
12,-1.5707957744598389,1.570796012878418,-1.5707966089248657,-1.5707961320877075,1.667514681816101,-1.7334221601486206,0.6554492712020874,-0.5130963921546936,-0.8311412930488586,-0.9048754572868347,2.9911348819732666,-1.5707839727401733,-0.5294234156608582,0.855782151222229,0.2737674117088318,-1.4995193481445312,0.0
13,-1.570796251296997,1.570796251296997,-1.5707964897155762,-1.570796251296997,1.7060643434524536,-1.7316043376922607,0.7323781251907349,-0.6027740836143494,-0.897857129573822,-0.887108564376831,2.962900400161743,-1.5707950592041016,-0.5916590690612793,0.799616277217865,0.36203980445861816,-1.5217398405075073,0.0
14,-1.570796251296997,1.570796251296997,-1.5707963705062866,-1.5707963705062866,1.6782418489456177,-1.7442716360092163,0.7942748069763184,-0.6767407655715942,-0.8971415758132935,-0.8879923820495605,2.9593727588653564,-1.5707961320877075,-0.5939768552780151,0.7811155319213867,0.3721759021282196,-1.518409252166748,0.0
15,-1.570796251296997,1.570796251296997,-1.5707963705062866,-1.5707963705062866,1.6816340684890747,-1.7340474128723145,0.8547676801681519,-0.7465233206748962,-0.9001091718673706,-0.8982292413711548,2.952254056930542,-1.5707961320877075,-0.6106470823287964,0.766840398311615,0.3904140889644623,-1.5192859172821045,0.0
16,-1.570796251296997,1.570796251296997,-1.5707963705062866,-1.5707963705062866,1.6769641637802124,-1.7323365211486816,0.9032081365585327,-0.8047509789466858,-0.9124212861061096,-0.8898869156837463,2.9616119861602783,-1.5707961320877075,-0.6194338202476501,0.7632151246070862,0.38252365589141846,-1.5110070705413818,0.0
17,-1.570796251296997,1.570796251296997,-1.5707963705062866,-1.5707963705062866,1.6602643728256226,-1.7272450923919678,0.9452223777770996,-0.86506187915802,-0.9324820637702942,-0.8757421374320984,2.9542441368103027,-1.5707961320877075,-0.6330269575119019,0.7574965953826904,0.3892084062099457,-1.5139760971069336,0.0
18,-1.570796251296997,1.570796251296997,-1.5707963705062866,-1.5707963705062866,1.6738768815994263,-1.7137175798416138,0.9851500391960144,-0.9135295152664185,-0.935636579990387,-0.8940585255622864,2.9493720531463623,-1.5707961320877075,-0.6483564376831055,0.7712497115135193,0.39685529470443726,-1.5111870765686035,0.0
19,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.629550576210022,-1.6939697265625,1.0095410346984863,-0.9437905550003052,-0.8837750554084778,-0.9100959300994873,2.9897687435150146,-1.5707961320877075,-0.6012216210365295,0.7921630144119263,0.3358021378517151,-1.4782826900482178,0.0
20,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6492576599121094,-1.6933388710021973,1.0484299659729004,-0.9821797609329224,-0.8812470436096191,-0.9024122357368469,3.000732183456421,-1.5707961320877075,-0.6072607636451721,0.8068185448646545,0.32222604751586914,-1.474901795387268,0.0
21,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6373873949050903,-1.686568260192871,1.0815576314926147,-1.029752254486084,-0.8990169763565063,-0.9181211590766907,2.9883341789245605,-1.5707961320877075,-0.628665566444397,0.812345564365387,0.33289021253585815,-1.4844334125518799,0.0
22,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6348596811294556,-1.710384726524353,1.134325623512268,-1.0724501609802246,-0.9220903515815735,-0.8698114156723022,2.9554221630096436,-1.5707961320877075,-0.6618369221687317,0.7826243042945862,0.37051746249198914,-1.5049798488616943,0.0
23,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6256942749023438,-1.6645028591156006,1.1557414531707764,-1.103512167930603,-0.9012665748596191,-0.8919573426246643,2.962390422821045,-1.5707961320877075,-0.6473065614700317,0.7963604927062988,0.3477010428905487,-1.4993613958358765,0.0
24,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.632908821105957,-1.666318655014038,1.1701215505599976,-1.1423351764678955,-0.903887152671814,-0.9092226028442383,2.975170135498047,-1.5707961320877075,-0.6405722498893738,0.8216354846954346,0.33039990067481995,-1.4963195323944092,0.0
25,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6408528089523315,-1.6721266508102417,1.2133468389511108,-1.1777329444885254,-0.9396569728851318,-0.874657392501831,2.950625419616699,-1.570796251296997,-0.6808925271034241,0.7980754375457764,0.360752671957016,-1.5146338939666748,0.0
26,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6282131671905518,-1.6674072742462158,1.25314199924469,-1.2119349241256714,-0.9526483416557312,-0.8457760810852051,2.920654773712158,-1.570796251296997,-0.703544557094574,0.7720499634742737,0.3854105472564697,-1.5318747758865356,0.0
27,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6183018684387207,-1.6257675886154175,1.2512961626052856,-1.2314040660858154,-0.8965089917182922,-0.9052905440330505,2.985008716583252,-1.570796251296997,-0.6305447816848755,0.8406112194061279,0.3004339337348938,-1.4993023872375488,0.0
28,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6078450679779053,-1.620067834854126,1.2693283557891846,-1.2571138143539429,-0.8775860667228699,-0.919822096824646,2.990291118621826,-1.570796251296997,-0.6224837899208069,0.8438540697097778,0.29117801785469055,-1.4999852180480957,0.0
29,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6134049892425537,-1.6406662464141846,1.3079129457473755,-1.285815954208374,-0.9170032739639282,-0.8765645027160645,2.957216739654541,-1.570796251296997,-0.6697149276733398,0.8194091320037842,0.3306322693824768,-1.520808219909668,0.0
30,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6152740716934204,-1.6372166872024536,1.3395929336547852,-1.3166786432266235,-0.940334141254425,-0.8535263538360596,2.936359405517578,-1.570796251296997,-0.6997244954109192,0.7948002219200134,0.35014182329177856,-1.5349340438842773,0.0
31,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.5962210893630981,-1.6228587627410889,1.3442312479019165,-1.3256282806396484,-0.8841332197189331,-0.9314863681793213,2.9862096309661865,-1.570796251296997,-0.6405245661735535,0.8572855591773987,0.2886117398738861,-1.513779640197754,0.0
32,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6048212051391602,-1.621995449066162,1.3720625638961792,-1.3634837865829468,-0.9220811128616333,-0.8986688852310181,2.963120937347412,-1.570796251296997,-0.6641362309455872,0.8354471325874329,0.3093876540660858,-1.5298528671264648,0.0
33,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.5933444499969482,-1.6237033605575562,1.3910470008850098,-1.375124216079712,-0.907744824886322,-0.908831775188446,2.966264009475708,-1.570796251296997,-0.6587010622024536,0.8450533747673035,0.30341702699661255,-1.5299503803253174,0.0
34,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.5833704471588135,-1.5995146036148071,1.4112660884857178,-1.4028339385986328,-0.9096788763999939,-0.8804458975791931,2.972852945327759,-1.570796251296997,-0.6502187252044678,0.8276219367980957,0.29526287317276,-1.5353180170059204,0.0
35,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.6053268909454346,-1.6158548593521118,1.431354284286499,-1.4315396547317505,-0.9236019253730774,-0.8636493682861328,2.975686550140381,-1.570796251296997,-0.6651874780654907,0.8326565623283386,0.290547251701355,-1.5397948026657104,0.0
36,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.590153694152832,-1.6041030883789062,1.4613045454025269,-1.4458547830581665,-0.9472268223762512,-0.8826270699501038,2.9276607036590576,-1.570796251296997,-0.705135703086853,0.8180188536643982,0.3417670726776123,-1.556331753730774,0.0
37,-1.5707963705062866,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,1.5766851902008057,-1.5866241455078125,1.4577546119689941,-1.4521821737289429,-0.8735103011131287,-0.9310725927352905,2.991624355316162,-1.570796251296997,-0.6264691352844238,0.8627885580062866,0.269960880279541,-1.5372636318206787,0.0
