dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,320,1,0,3,2,0.9218749999711914,0.5468749999829101,8437.211442232132,140.62019070386887,19
mnist,320,2,0,3,2,0.7593749999762696,0.518749999983789,10926.463829994202,182.10773049990337,38
mnist,320,1,0.005,3,2,0.9218749999711914,0.5343749999833007,12594.375663995743,209.9062610665957,19
mnist,320,1,0.015,3,2,0.9249999999710937,0.5343749999833007,12950.926877498627,215.84878129164377,19
mnist,320,1,0.04,3,2,0.909374999971582,0.47499999998515624,13520.811626672745,225.34686044454574,19
mnist,320,1,0.02,3,2,0.9281249999709961,0.5218749999836914,14465.331384420395,241.08885640700657,19
mnist,320,1,0.035,3,2,0.9218749999711914,0.4874999999847656,14734.331187725067,245.57218646208446,19
mnist,320,1,0.025,3,2,0.9249999999710937,0.509374999984082,15407.286992073059,256.78811653455097,19
mnist,320,1,0.03,3,2,0.9249999999710937,0.499999999984375,16186.107491970062,269.768458199501,19
mnist,320,1,0.001,3,2,0.9218749999711914,0.5468749999829101,16167.716037988663,269.4619339664777,19
mnist,320,1,0.01,3,2,0.9249999999710937,0.5343749999833007,16874.541120290756,281.24235200484594,19
mnist,320,1,0.05,3,2,0.9062499999716797,0.47499999998515624,17474.520486354828,291.2420081059138,16
mnist,320,2,0.001,3,2,0.7593749999762696,0.518749999983789,10714.381708860397,178.57302848100662,32
mnist,320,2,0.005,3,2,0.8906249999721679,0.6374999999800781,11496.577619552612,191.60962699254353,19
mnist,320,3,0,3,2,0.7593749999762696,0.5124999999839843,5756.713964939117,95.94523274898529,9
mnist,320,2,0.01,3,2,0.8562499999732421,0.6343749999801758,10745.398596048355,179.08997660080593,19
mnist,320,2,0.015,3,2,0.8468749999735351,0.618749999980664,10796.468168735504,179.94113614559174,19
mnist,320,2,0.02,3,2,0.828124999974121,0.6218749999805664,10695.288765192032,178.25481275320053,19
mnist,320,2,0.025,3,2,0.7968749999750976,0.5968749999813476,10379.605389118195,172.99342315196992,16
mnist,320,2,0.03,3,2,0.7562499999763672,0.609374999980957,10407.069603681564,173.45116006135942,16
mnist,320,2,0.04,3,2,0.6406249999799805,0.5218749999836914,9379.563080072403,156.32605133454004,16
mnist,320,2,0.035,3,2,0.6937499999783203,0.5781249999819336,10214.926825761795,170.24878042936325,16
mnist,320,2,0.05,3,2,0.7249999999773438,0.4656249999854492,9776.514152050018,162.94190253416699,37
mnist,320,3,0.001,3,2,0.7562499999763672,0.518749999983789,9158.688656806946,152.64481094678243,9
mnist,320,3,0.005,3,2,0.9218749999711914,0.5343749999833007,9145.74264717102,152.42904411951702,9
mnist,320,4,0,3,2,0.8968749999719726,0.6374999999800781,5654.721377134323,94.24535628557206,19
mnist,320,3,0.01,3,2,0.9249999999710937,0.5343749999833007,9255.45193696022,154.25753228267033,9
mnist,320,3,0.02,3,2,0.9281249999709961,0.5218749999836914,8460.340911149979,141.00568185249963,9
mnist,320,3,0.015,3,2,0.9249999999710937,0.5343749999833007,9386.979752063751,156.44966253439586,9
mnist,320,3,0.025,3,2,0.9249999999710937,0.509374999984082,9321.102731227875,155.35171218713126,9
mnist,320,3,0.03,3,2,0.9249999999710937,0.499999999984375,9289.271221399307,154.82118702332178,23
mnist,320,3,0.035,3,2,0.9218749999711914,0.4874999999847656,9291.05906200409,154.85098436673482,23
mnist,320,3,0.05,3,2,0.9062499999716797,0.47499999998515624,8558.948920249939,142.64914867083232,23
mnist,320,3,0.04,3,2,0.909374999971582,0.47499999998515624,9424.59123659134,157.07652060985566,23
mnist,320,4,0.001,3,2,0.8968749999719726,0.6374999999800781,9301.001723766327,155.01669539610546,19
mnist,320,4,0.005,3,2,0.8906249999721679,0.6374999999800781,9392.750695705414,156.54584492842358,24
mnist,320,4,0.01,3,2,0.8562499999732421,0.6343749999801758,9193.917780399323,153.23196300665538,24
mnist,320,5,0,3,2,0.9218749999711914,0.5499999999828125,5478.815261125565,91.31358768542607,16
mnist,320,4,0.015,3,2,0.8468749999735351,0.618749999980664,8478.813569784164,141.31355949640275,24
mnist,320,4,0.025,3,2,0.7968749999750976,0.59999999998125,8441.50471496582,140.69174524943034,24
mnist,320,4,0.02,3,2,0.828124999974121,0.6218749999805664,8920.307264566422,148.6717877427737,24
mnist,320,4,0.03,3,2,0.7562499999763672,0.6062499999810547,9369.64943933487,156.1608239889145,24
mnist,320,4,0.035,3,2,0.6937499999783203,0.5781249999819336,9143.660956382751,152.39434927304586,9
mnist,320,4,0.05,3,2,0.6874999999785156,0.5312499999833984,8201.325068950653,136.68875114917756,9
mnist,320,4,0.04,3,2,0.7999999999749999,0.6249999999804687,9038.246611356735,150.63744352261224,9
mnist,320,5,0.001,3,2,0.9218749999711914,0.5468749999829101,9353.747230052948,155.89578716754914,16
mnist,320,5,0.005,3,2,0.9218749999711914,0.5343749999833007,9030.180490970612,150.50300818284353,16
mnist,320,5,0.01,3,2,0.9249999999710937,0.5343749999833007,9165.02158999443,152.7503598332405,16
mnist,320,5,0.015,3,2,0.9249999999710937,0.5343749999833007,8822.776197195053,147.04626995325089,16
mnist,320,6,0,3,2,0.8968749999719726,0.6374999999800781,5261.783606767654,87.69639344612757,19
