epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,phi
0,-0.4058293402194977,-0.40928155183792114,-0.33560797572135925,0.3628731369972229,-0.33328500390052795,-0.39609408378601074,0.3438739776611328,0.32757505774497986,-0.38851383328437805,0.3124237656593323,0.39694565534591675,-0.4092375934123993,0.3626444339752197,0.44508954882621765,0.3589377701282501,0.3425522446632385,-0.4604291617870331,-0.4133048951625824,0.2586812376976013,-0.4381903111934662,-0.4530990421772003,-0.3447374701499939,-0.3384193181991577,-0.34051305055618286,0.0
1,-0.5495322942733765,-0.5241186618804932,-0.45134255290031433,0.47487133741378784,-0.438444584608078,-0.5836493372917175,0.4515044391155243,0.3868233263492584,-0.610710084438324,0.5025411248207092,0.5280698537826538,-0.627785325050354,0.541957676410675,0.6948710680007935,0.5109532475471497,0.429308146238327,-0.6378782987594604,-0.5656341314315796,0.25768041610717773,-0.7117310762405396,-0.7339615225791931,-0.4593333601951599,-0.42329832911491394,-0.44141581654548645,0.0
2,-0.5890356302261353,-0.5293309688568115,-0.5020105242729187,0.5126844644546509,-0.47983014583587646,-0.6600860357284546,0.48188650608062744,0.40189129114151,-0.7032479047775269,0.6034131050109863,0.5886791348457336,-0.7094078063964844,0.618556022644043,0.7856642603874207,0.5734754204750061,0.4722723364830017,-0.6898125410079956,-0.6025066375732422,0.23984785377979279,-0.8201380372047424,-0.8409600853919983,-0.5215635299682617,-0.45887795090675354,-0.4947391748428345,0.0
3,-0.6041699051856995,-0.5180729031562805,-0.5301414132118225,0.5345756411552429,-0.5004696846008301,-0.7051426768302917,0.4925678074359894,0.40483012795448303,-0.7527549266815186,0.6558100581169128,0.6372040510177612,-0.7388772964477539,0.6525816321372986,0.8215550780296326,0.6026014685630798,0.5023815035820007,-0.7085450887680054,-0.6168933510780334,0.2200334370136261,-0.8641641139984131,-0.8929452896118164,-0.5602070689201355,-0.47717881202697754,-0.5321369767189026,0.0
4,-0.6104016900062561,-0.5011870265007019,-0.5491657853126526,0.5497466325759888,-0.5119980573654175,-0.7391071915626526,0.4951539933681488,0.4021308720111847,-0.786048412322998,0.6852859258651733,0.682659924030304,-0.7459694147109985,0.6676392555236816,0.8334993720054626,0.6156657934188843,0.5282642245292664,-0.7130709290504456,-0.623945415019989,0.19856178760528564,-0.8782457709312439,-0.9241981506347656,-0.5876360535621643,-0.48744985461235046,-0.5643526315689087,0.0
5,-0.6107463836669922,-0.48403647541999817,-0.556290864944458,0.5559322834014893,-0.513814389705658,-0.7637006044387817,0.4911929965019226,0.3963565230369568,-0.7995147705078125,0.6803861260414124,0.7178834676742554,-0.7237953543663025,0.6574457287788391,0.8124862909317017,0.6074185967445374,0.5452809929847717,-0.7020854353904724,-0.6261076331138611,0.17865771055221558,-0.8609564900398254,-0.9415570497512817,-0.5969313383102417,-0.48556414246559143,-0.5843487977981567,0.0
6,-0.6128656268119812,-0.46348339319229126,-0.5637673735618591,0.5602768063545227,-0.5147123336791992,-0.7908669710159302,0.4862763285636902,0.38932710886001587,-0.8173174858093262,0.6732670068740845,0.7580180168151855,-0.7062282562255859,0.6479585766792297,0.7910253405570984,0.5973123908042908,0.5659737586975098,-0.6888166069984436,-0.6295649409294128,0.1580876111984253,-0.8387067317962646,-0.9614008665084839,-0.6067028045654297,-0.48327499628067017,-0.6080024242401123,0.0
7,-0.6150752305984497,-0.4423518776893616,-0.5674165487289429,0.5596268177032471,-0.5112504363059998,-0.8141986727714539,0.4771507978439331,0.38052091002464294,-0.8250142931938171,0.6566486358642578,0.7860748767852783,-0.6649616360664368,0.6178449988365173,0.7440609335899353,0.5738402009010315,0.5784193277359009,-0.6686933636665344,-0.6274065375328064,0.13903026282787323,-0.7981494069099426,-0.9737934470176697,-0.6037039756774902,-0.4718589186668396,-0.6218369603157043,0.0
8,-0.6204327344894409,-0.4179520308971405,-0.5778823494911194,0.5588756799697876,-0.5114229917526245,-0.8418018221855164,0.4674595594406128,0.36999446153640747,-0.8450068235397339,0.6545118689537048,0.8219318389892578,-0.6399804949760437,0.5990175604820251,0.7130407094955444,0.5584288835525513,0.6009101867675781,-0.6533176302909851,-0.630100429058075,0.1159556433558464,-0.7616495490074158,-0.9909029603004456,-0.6096867322921753,-0.46692338585853577,-0.6478786468505859,0.0
9,-0.630554735660553,-0.3888108432292938,-0.5967171788215637,0.5579391121864319,-0.5159524083137512,-0.8772080540657043,0.4574534595012665,0.35719984769821167,-0.8775529861450195,0.6665681600570679,0.8650307059288025,-0.623440682888031,0.5847587585449219,0.6871052980422974,0.5464925169944763,0.6329513192176819,-0.6413805484771729,-0.6352217197418213,0.08428042382001877,-0.7273597121238708,-1.015589952468872,-0.6205999851226807,-0.46575072407722473,-0.6858506798744202,0.0
