dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
sat_data,20,1,0,4,3,0.749999999625,0.749999999625,410.7037601470947,6.845062669118246,28
sat_data,20,1,0,4,1,0.49999999975,0.49999999975,417.2245121002197,6.953741868336995,16
sat_data,20,2,0,3,2,0.8499999995749999,0.749999999625,425.74126148223877,7.095687691370646,41
sat_data,20,1,0,3,3,0.7999999996,0.6999999996499999,427.4076647758484,7.123461079597473,28
sat_data,20,2,0,3,1,0.7999999996,0.749999999625,443.93629264831543,7.398938210805257,41
sat_data,20,2,0,3,3,0.649999999675,0.649999999675,488.53545212745667,8.142257535457611,50
sat_data,20,1,0,3,2,0.749999999625,0.6999999996499999,502.97555899620056,8.38292598327001,9
sat_data,20,1,0,4,2,0.8499999995749999,0.8499999995749999,560.0371084213257,9.333951807022094,9
sat_data,20,1,0,3,1,0.8499999995749999,0.7999999996,619.5434243679047,10.325723739465078,28
sat_data,20,2,0,4,1,0.749999999625,0.749999999625,714.8180468082428,11.913634113470714,50
sat_data,20,2,0,4,3,0.8499999995749999,0.8499999995749999,730.8340997695923,12.180568329493205,25
sat_data,40,2,0,3,1,0.77499999980625,0.499999999875,762.0360910892487,12.700601518154144,57
sat_data,40,2,0,3,3,0.72499999981875,0.5749999998562499,831.0628254413605,13.851047090689342,39
sat_data,20,2,0,4,2,0.8499999995749999,0.8499999995749999,853.5398154258728,14.225663590431214,9
sat_data,40,1,0,3,1,0.7499999998125,0.5499999998625,846.7929346561432,14.113215577602386,39
sat_data,40,1,0,3,3,0.77499999980625,0.499999999875,888.7524149417877,14.812540249029796,17
sat_data,40,1,0,4,2,0.6999999998249999,0.6999999998249999,926.4389748573303,15.440649580955505,10
sat_data,40,2,0,3,2,0.8249999997937499,0.52499999986875,999.5947513580322,16.65991252263387,10
sat_data,40,2,0,4,1,0.7499999998125,0.7499999998125,1029.4378345012665,17.157297241687775,39
sat_data,40,1,0,3,2,0.8499999997875,0.67499999983125,1057.9092304706573,17.63182050784429,10
