epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,phi
0,0.5071924328804016,-0.45158103108406067,0.4881914258003235,-0.48062825202941895,0.49862751364707947,-0.4708808660507202,-0.4752977788448334,-0.47392958402633667,0.0
1,0.8198509216308594,-0.6780375838279724,0.7538473606109619,-0.7775859236717224,0.7574508786201477,-0.8232867121696472,-0.7549658417701721,-0.6704107522964478,0.0
2,1.0375179052352905,-0.8259108662605286,0.9309260845184326,-0.9777713418006897,0.9169963002204895,-1.0650274753570557,-0.9399383068084717,-0.8109192848205566,0.0
3,1.1851378679275513,-0.9219596982002258,1.0456994771957397,-1.112315058708191,1.0119285583496094,-1.2247833013534546,-1.0578876733779907,-0.9137477278709412,0.0
4,1.3110154867172241,-0.9931132793426514,1.1380728483200073,-1.220198392868042,1.0783177614212036,-1.3529117107391357,-1.14665949344635,-1.0045952796936035,0.0
5,1.3987603187561035,-1.0394405126571655,1.1988096237182617,-1.2938544750213623,1.1170802116394043,-1.4398043155670166,-1.2018933296203613,-1.0723234415054321,0.0
6,1.4693330526351929,-1.073920488357544,1.2448360919952393,-1.3555271625518799,1.1400471925735474,-1.5107170343399048,-1.2395578622817993,-1.1303315162658691,0.0
7,1.5262184143066406,-1.0989046096801758,1.2793158292770386,-1.4040627479553223,1.1531083583831787,-1.5666284561157227,-1.2635009288787842,-1.1760482788085938,0.0
8,1.5792150497436523,-1.1188570261001587,1.3093903064727783,-1.448862910270691,1.1597516536712646,-1.618395209312439,-1.2823848724365234,-1.2211507558822632,0.0
9,1.6322873830795288,-1.1372278928756714,1.3382009267807007,-1.496780514717102,1.1613305807113647,-1.6735812425613403,-1.2966796159744263,-1.270746111869812,0.0
10,1.667847752571106,-1.1473921537399292,1.3549096584320068,-1.5273323059082031,1.1576374769210815,-1.7085165977478027,-1.301306128501892,-1.3008307218551636,0.0
11,1.7054505348205566,-1.1579724550247192,1.3710817098617554,-1.5645289421081543,1.1497406959533691,-1.749569296836853,-1.3039501905441284,-1.3345783948898315,0.0
12,1.726279377937317,-1.1644072532653809,1.3784409761428833,-1.5880680084228516,1.140936255455017,-1.7743206024169922,-1.3008366823196411,-1.3490633964538574,0.0
13,1.7478045225143433,-1.1714528799057007,1.3857543468475342,-1.610870122909546,1.132483959197998,-1.797980546951294,-1.2995319366455078,-1.3675167560577393,0.0
14,1.7727811336517334,-1.178253173828125,1.3935238122940063,-1.6387405395507812,1.118901014328003,-1.828471302986145,-1.2967909574508667,-1.3917160034179688,0.0
15,1.7913873195648193,-1.1824262142181396,1.3986899852752686,-1.6624820232391357,1.1053894758224487,-1.8508647680282593,-1.2892425060272217,-1.403850793838501,0.0
16,1.793092131614685,-1.1885545253753662,1.3969722986221313,-1.6741609573364258,1.0991379022598267,-1.8589028120040894,-1.2902836799621582,-1.399343490600586,0.0
17,1.8115397691726685,-1.1919519901275635,1.4010018110275269,-1.6939972639083862,1.0832284688949585,-1.8773003816604614,-1.2837930917739868,-1.4090344905853271,0.0
18,1.8151088953018188,-1.196922779083252,1.3984583616256714,-1.71649169921875,1.0716297626495361,-1.8917807340621948,-1.275710940361023,-1.4051538705825806,0.0
19,1.819992184638977,-1.2032362222671509,1.3988707065582275,-1.7277477979660034,1.0589704513549805,-1.9002248048782349,-1.2734993696212769,-1.402533769607544,0.0
20,1.8104475736618042,-1.2123264074325562,1.393897533416748,-1.7332249879837036,1.0531134605407715,-1.8940905332565308,-1.2716217041015625,-1.3810417652130127,0.0
21,1.823183298110962,-1.2151145935058594,1.3955116271972656,-1.758209228515625,1.0334069728851318,-1.9148015975952148,-1.2655366659164429,-1.3879904747009277,0.0
22,1.8133801221847534,-1.2261728048324585,1.3912760019302368,-1.7612582445144653,1.0298781394958496,-1.9047743082046509,-1.265613317489624,-1.3613210916519165,0.0
23,1.8191415071487427,-1.2344391345977783,1.3903239965438843,-1.7846570014953613,1.0096440315246582,-1.9243290424346924,-1.260625958442688,-1.362755298614502,0.0
24,1.8243247270584106,-1.2396992444992065,1.388022541999817,-1.805550456047058,0.9915419220924377,-1.9390300512313843,-1.2570394277572632,-1.3589656352996826,0.0
25,1.8227670192718506,-1.2480003833770752,1.3877536058425903,-1.8226913213729858,0.9738972187042236,-1.9470938444137573,-1.2526326179504395,-1.3469961881637573,0.0
26,1.810387134552002,-1.2568111419677734,1.38322913646698,-1.8339217901229858,0.9649091958999634,-1.945315957069397,-1.2486463785171509,-1.3254269361495972,0.0
27,1.8042728900909424,-1.2722585201263428,1.3800455331802368,-1.8411755561828613,0.9460398554801941,-1.9422719478607178,-1.2479805946350098,-1.3109318017959595,0.0
28,1.792488932609558,-1.278958797454834,1.3810666799545288,-1.8555057048797607,0.9374102354049683,-1.940455436706543,-1.2446831464767456,-1.2790459394454956,0.0
29,1.8006536960601807,-1.2876375913619995,1.3822494745254517,-1.8885964155197144,0.9103494882583618,-1.9680829048156738,-1.2432087659835815,-1.2816998958587646,0.0
30,1.7726614475250244,-1.2954844236373901,1.3862541913986206,-1.8781230449676514,0.9179251790046692,-1.9405468702316284,-1.2525460720062256,-1.2307138442993164,0.0
31,1.7800360918045044,-1.3105412721633911,1.3900377750396729,-1.9140855073928833,0.8904188275337219,-1.9654414653778076,-1.2528079748153687,-1.2282065153121948,0.0
32,1.7871919870376587,-1.3193509578704834,1.3859784603118896,-1.961785078048706,0.8517675399780273,-2.0049338340759277,-1.247209906578064,-1.2345480918884277,0.0
33,1.7662304639816284,-1.3289713859558105,1.388709545135498,-1.9715529680252075,0.8388132452964783,-1.9971094131469727,-1.2417436838150024,-1.203137993812561,0.0
34,1.7568576335906982,-1.3495007753372192,1.3997172117233276,-1.9883031845092773,0.8160920143127441,-1.9991040229797363,-1.2486554384231567,-1.1752080917358398,0.0
35,1.7265723943710327,-1.3666812181472778,1.401694655418396,-2.0024561882019043,0.8015221357345581,-1.9960070848464966,-1.2510154247283936,-1.1417127847671509,0.0
36,1.7202059030532837,-1.3832380771636963,1.402376651763916,-2.0331757068634033,0.7700074315071106,-2.0188114643096924,-1.2527821063995361,-1.1280397176742554,0.0
37,1.681679606437683,-1.3952237367630005,1.4068198204040527,-2.0459678173065186,0.7630521059036255,-2.013383150100708,-1.2515945434570312,-1.089210867881775,0.0
38,1.6671780347824097,-1.4089243412017822,1.4214271306991577,-2.0733630657196045,0.7290417551994324,-2.021977663040161,-1.2455403804779053,-1.0643025636672974,0.0
39,1.6327670812606812,-1.4329066276550293,1.4279463291168213,-2.0889203548431396,0.7108798027038574,-2.0264272689819336,-1.2584165334701538,-1.033321499824524,0.0
40,1.618889331817627,-1.4551128149032593,1.437653660774231,-2.133777141571045,0.677897036075592,-2.053316354751587,-1.2555875778198242,-1.0184649229049683,0.0
41,1.5935187339782715,-1.4586094617843628,1.4584007263183594,-2.137580156326294,0.6585160493850708,-2.046016216278076,-1.2574397325515747,-0.9791086912155151,0.0
42,1.5476875305175781,-1.4873160123825073,1.455413818359375,-2.1739161014556885,0.6239647269248962,-2.071486473083496,-1.258244514465332,-0.9601262807846069,0.0
43,1.5032037496566772,-1.4950398206710815,1.4925209283828735,-2.1777503490448,0.6292526721954346,-2.0432705879211426,-1.226863145828247,-0.9016598463058472,0.0
44,1.4683648347854614,-1.5092955827713013,1.5063544511795044,-2.200561046600342,0.5860143899917603,-2.0546963214874268,-1.224299430847168,-0.8744779825210571,0.0
45,1.428051233291626,-1.5201656818389893,1.5151029825210571,-2.236943006515503,0.5523413419723511,-2.0819523334503174,-1.2170566320419312,-0.8487774133682251,0.0
46,1.379356861114502,-1.5563850402832031,1.5308877229690552,-2.2591280937194824,0.5259754657745361,-2.077573776245117,-1.1896787881851196,-0.8150848746299744,0.0
