run_dir,run_name,architecture,N,seed,dataset,readout,augment_train,device,num_qubits,reps,img_size,epochs_configured,epochs_completed,train_accuracy,val_accuracy,val_aug_accuracy,p4m_is_invariant
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=1234,QNN.architecture=config6,TRAINING.epochs=40",config6_N=80_seed=1234,config6,80,1234,mnist,,,default.qubit,8,2,16,40,40,0.6874999999140625,0.6999999999125001,0.6999999999125001,True
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=1234,QNN.architecture=config7,TRAINING.epochs=40",config7_N=80_seed=1234,config7,80,1234,mnist,,,default.qubit,8,2,16,40,40,0.8374999998953125,0.8374999998953125,0.5624999999296876,False
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=2345,QNN.architecture=config6,TRAINING.epochs=40",config6_N=80_seed=2345,config6,80,2345,mnist,,,default.qubit,8,2,16,40,40,0.6624999999171876,0.6999999999125001,0.6999999999125001,True
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=2345,QNN.architecture=config7,TRAINING.epochs=40",config7_N=80_seed=2345,config7,80,2345,mnist,,,default.qubit,8,2,16,40,40,0.8874999998890626,0.8499999998937501,0.49999999993750005,False
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=3456,QNN.architecture=config6,TRAINING.epochs=40",config6_N=80_seed=3456,config6,80,3456,mnist,,,default.qubit,8,2,16,40,40,0.6999999999125001,0.7624999999046875,0.7624999999046875,True
"results_def/multirun/2026-07-31/16-33-42/DATA.N=80,GENERAL.seed=3456,QNN.architecture=config7,TRAINING.epochs=40",config7_N=80_seed=3456,config7,80,3456,mnist,,,default.qubit,8,2,16,40,40,0.8999999998875001,0.8249999998968751,0.574999999928125,False
"results_def/multirun/2026-08-24/11-03-57/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,TRAINING.epochs=40",config6_N=80_seed=1,config6,80,1,mnist,,,default.qubit,8,2,16,40,40,0.5999999999250001,0.6749999999156251,0.6749999999156251,True
"results_def/multirun/2026-08-24/11-03-57/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config7,TRAINING.epochs=40",config7_N=80_seed=1,config7,80,1,mnist,,,default.qubit,8,2,16,40,40,0.6374999999203126,0.6624999999171876,0.64999999991875,False
"results_def/multirun/2026-08-24/11-03-57/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config6,TRAINING.epochs=40",config6_N=80_seed=2,config6,80,2,mnist,,,default.qubit,8,2,16,40,40,0.6624999999171876,0.64999999991875,0.64999999991875,True
"results_def/multirun/2026-08-24/11-03-57/DATA.N=80,DATA.augment_train=True,GENERAL.seed=2,QNN.architecture=config7,TRAINING.epochs=40",config7_N=80_seed=2,config7,80,2,mnist,,,default.qubit,8,2,16,40,40,0.5999999999250001,0.54999999993125,0.574999999928125,False
