dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss,convergence_time
nwpu,20,1.0,0.0,3.0,1.0,0.49999999975,0.5999999997,222.18233156204224,3.7030388593673695,29.0,0.6865785845661497,
nwpu,20,1.0,0.0,3.0,2.0,0.49999999975,0.49999999975,228.6342248916626,3.810570414861043,16.0,0.6925178715104305,
nwpu,20,1.0,0.0,3.0,3.0,0.49999999975,0.49999999975,238.96053075790405,3.9826755126317344,16.0,0.6678243037699391,
nwpu,20,1.0,0.0,4.0,1.0,0.649999999675,0.649999999675,293.5794625282288,4.892991042137146,16.0,0.6976977696506551,
nwpu,20,1.0,0.0,4.0,2.0,0.549999999725,0.549999999725,306.71632385253906,5.111938730875651,16.0,0.6904593142395025,
nwpu,20,1.0,0.0,4.0,3.0,0.49999999975,0.49999999975,333.78296995162964,5.563049499193827,16.0,0.6745527925694847,
nwpu,40,1.0,0.0,3.0,1.0,0.5749999998562499,0.5749999998562499,431.8423674106598,7.197372790177663,31.0,0.6866068516445256,
nwpu,40,1.0,0.0,3.0,3.0,0.5499999998625,0.5749999998562499,440.5516841411591,7.342528069019318,17.0,0.6728984652267491,
nwpu,40,1.0,0.0,3.0,2.0,0.52499999986875,0.52499999986875,442.0071411132813,7.366785685221354,7.0,0.6922491506991684,
nwpu,40,1.0,0.0,4.0,1.0,0.5749999998562499,0.5749999998562499,554.4442753791809,9.240737922986348,24.0,0.6943491314105803,
nwpu,40,1.0,0.0,4.0,2.0,0.6499999998375,0.6499999998375,580.5251276493073,9.67541879415512,7.0,0.6887839589781184,
nwpu,40,1.0,0.0,4.0,3.0,0.5499999998625,0.5499999998625,588.2193007469177,9.803655012448628,31.0,0.6803331766811893,
nwpu,80,1.0,0.0,3.0,1.0,0.5249999999343751,0.54999999993125,674.7812919616699,11.246354866027833,18.0,0.6901462071271336,
nwpu,80,1.0,0.0,3.0,2.0,0.5999999999250001,0.574999999928125,781.4119262695312,13.023532104492189,11.0,0.6846172212698611,
nwpu,80,1.0,0.0,3.0,3.0,0.64999999991875,0.6624999999171876,824.8528723716736,13.747547872861226,18.0,0.6800628756626729,
nwpu,80,1.0,0.0,4.0,1.0,0.5249999999343751,0.5249999999343751,1000.1947638988496,16.669912731647493,18.0,0.6933438133326741,
nwpu,80,1.0,0.0,4.0,2.0,0.64999999991875,0.64999999991875,1167.5779993534088,19.45963332255681,11.0,0.6908713584274733,
nwpu,80,1.0,0.0,4.0,3.0,0.7624999999046875,0.7624999999046875,1240.7562577724457,20.679270962874096,11.0,0.6846145313122427,
nwpu,160,1.0,0.0,3.0,2.0,0.5687499999644531,0.649999999959375,1538.6173148155212,25.64362191359202,11.0,0.6857547807264884,
nwpu,160,1.0,0.0,3.0,1.0,0.5687499999644531,0.6062499999621094,1575.4425747394562,26.257376245657603,28.0,0.6891799008415546,
nwpu,160,1.0,0.0,3.0,3.0,0.49999999996875,0.5874999999632812,1738.5035800933838,28.975059668223064,30.0,0.6761991673285338,
nwpu,160,1.0,0.0,4.0,1.0,0.5937499999628906,0.5937499999628906,2002.622637271881,33.37704395453135,27.0,0.6935525410933946,
nwpu,160,1.0,0.0,4.0,2.0,0.6437499999597656,0.6437499999597656,2234.3481912612915,37.23913652102153,11.0,0.6901393538282118,
nwpu,160,1.0,0.0,4.0,3.0,0.6624999999585938,0.6624999999585938,2318.523969888687,38.64206616481145,28.0,0.6837211584617535,
nwpu,320,1.0,0.0,3.0,2.0,0.6299999999685,0.6499999999675,2949.889328479767,49.164822141329445,56.0,0.6858127397084496,
nwpu,320,1.0,0.0,3.0,3.0,0.60499999996975,0.6399999999679999,3118.721956729889,51.978699278831485,56.0,0.6800920665051601,
nwpu,320,1.0,0.0,3.0,1.0,0.5699999999715,0.5699999999715,3263.454418420792,54.39090697367986,19.0,0.6923497450135356,
nwpu,320,1.0,0.0,4.0,1.0,0.59999999997,0.59999999997,3941.816391944885,65.69693986574809,18.0,0.6900691270612602,
nwpu,20,2.0,0.0,3.0,1.0,0.49999999975,0.549999999725,164.6595401763916,2.7443256696065266,16.0,0.6872165461918837,
nwpu,320,1.0,0.0,4.0,2.0,0.6149999999692499,0.6149999999692499,4237.524639844894,70.62541066408157,28.0,0.6885612547182438,
nwpu,20,2.0,0.0,3.0,2.0,0.5999999997,0.49999999975,211.4293148517609,3.5238219141960143,16.0,0.6800392356094966,
nwpu,20,2.0,0.0,3.0,3.0,0.649999999675,0.5999999997,232.1944100856781,3.8699068347613017,16.0,0.6712970497827979,
nwpu,20,2.0,0.0,4.0,1.0,0.549999999725,0.549999999725,270.32226157188416,4.505371026198069,16.0,0.6941849120960686,
nwpu,320,1.0,0.0,4.0,3.0,0.659999999967,0.659999999967,4619.476468086243,76.99127446810404,28.0,0.6812386852289934,
nwpu,20,2.0,0.0,4.0,2.0,0.549999999725,0.549999999725,302.30768513679504,5.038461418946584,16.0,0.6915043904900099,
nwpu,20,2.0,0.0,4.0,3.0,0.49999999975,0.49999999975,300.05696868896484,5.000949478149414,16.0,0.6841612603819869,
nwpu,40,2.0,0.0,3.0,1.0,0.5499999998625,0.5499999998625,418.4549489021301,6.974249148368836,17.0,0.6829633621654179,
nwpu,40,2.0,0.0,3.0,2.0,0.5499999998625,0.5499999998625,416.42104721069336,6.940350786844889,11.0,0.6868219993781602,
nwpu,40,2.0,0.0,3.0,3.0,0.5499999998625,0.52499999986875,428.0443027019501,7.134071711699168,17.0,0.6698628698104854,
nwpu,40,2.0,0.0,4.0,1.0,0.499999999875,0.499999999875,549.4396281242371,9.157327135403952,17.0,0.6922608767209318,
nwpu,40,2.0,0.0,4.0,2.0,0.499999999875,0.499999999875,562.2351839542389,9.370586399237316,11.0,0.6901473639670199,
nwpu,640,1.0,0.0,3.0,3.0,0.6099999999694999,0.6299999999685,5817.90217924118,96.96503632068634,23.0,0.6805064034355646,
nwpu,640,1.0,0.0,3.0,1.0,0.58499999997075,0.6299999999685,5870.801596164703,97.84669326941172,59.0,0.6890464192521197,
nwpu,40,2.0,0.0,4.0,3.0,0.59999999985,0.59999999985,594.4308273792267,9.907180456320445,43.0,0.6773908088897953,
nwpu,80,2.0,0.0,3.0,1.0,0.624999999921875,0.624999999921875,700.2958862781525,11.671598104635876,18.0,0.6914323323100783,
nwpu,640,1.0,0.0,3.0,2.0,0.679999999966,0.69499999996525,6342.250825166702,105.70418041944504,58.0,0.6843415957582357,
nwpu,80,2.0,0.0,3.0,2.0,0.6624999999171876,0.624999999921875,752.5040304660797,12.541733841101328,11.0,0.6862346493340052,
nwpu,80,2.0,0.0,3.0,3.0,0.624999999921875,0.6749999999156251,725.2766118049622,12.087943530082702,18.0,0.6775218313085517,
nwpu,80,2.0,0.0,4.0,1.0,0.5874999999265625,0.5874999999265625,1161.4256870746613,19.357094784577686,18.0,0.6923053913443168,
nwpu,80,2.0,0.0,4.0,2.0,0.6874999999140625,0.6874999999140625,1135.8206844329834,18.930344740549724,11.0,0.6872284673785435,
nwpu,80,2.0,0.0,4.0,3.0,0.7499999999062501,0.7499999999062501,1156.9523284435272,19.28253880739212,5.0,0.687698281321394,
nwpu,160,2.0,0.0,3.0,2.0,0.5624999999648437,0.6437499999597656,1472.1984732151031,24.53664122025172,28.0,0.6874928813743061,
nwpu,160,2.0,0.0,3.0,3.0,0.5374999999664062,0.6124999999617187,1430.7030913829803,23.84505152304968,28.0,0.6799325906805419,
nwpu,160,2.0,0.0,3.0,1.0,0.5749999999640625,0.6124999999617187,1716.507239818573,28.608453996976216,28.0,0.6897596835658988,
nwpu,640,1.0,0.0,4.0,1.0,0.5899999999705,0.5899999999705,8300.064843654633,138.33441406091055,59.0,0.6870131873977126,
nwpu,640,1.0,0.0,4.0,2.0,0.6099999999694999,0.6099999999694999,8653.110001087189,144.2185000181198,58.0,0.6850316375386967,
nwpu,160,2.0,0.0,4.0,1.0,0.5812499999636719,0.5812499999636719,2036.320692539215,33.93867820898692,27.0,0.6920794939562261,
nwpu,160,2.0,0.0,4.0,2.0,0.718749999955078,0.718749999955078,2264.168509244919,37.73614182074865,11.0,0.6901050787732823,
nwpu,640,1.0,0.0,4.0,3.0,0.6149999999692499,0.6149999999692499,9470.233524799349,157.83722541332244,39.0,0.677724947918793,
nwpu,160,2.0,0.0,4.0,3.0,0.6562499999589844,0.6562499999589844,2291.595795869828,38.19326326449712,11.0,0.6871845215129515,
nwpu,320,2.0,0.0,3.0,1.0,0.59499999997025,0.5899999999705,2839.793934583664,47.32989890972773,18.0,0.6870605242037643,
nwpu,320,2.0,0.0,3.0,2.0,0.59999999997,0.62499999996875,2862.05419921875,47.7009033203125,28.0,0.6857678329730308,
nwpu,1280,1.0,0.0,3.0,3.0,0.6299999999685,0.6299999999685,10930.27991604805,182.17133193413417,41.0,0.6773886601868447,
nwpu,320,2.0,0.0,3.0,3.0,0.5799999999709999,0.5699999999715,3029.689381837845,50.49482303063075,34.0,0.6827941667820226,
nwpu,1280,1.0,0.0,3.0,2.0,0.6699999999665,0.69499999996525,11245.72393155098,187.42873219251632,60.0,0.6835371843122107,
nwpu,1280,1.0,0.0,3.0,1.0,0.57499999997125,0.559999999972,11372.877180337906,189.54795300563177,25.0,0.6932060098590304,
nwpu,5120,1.0,0.0,3.0,1.0,0.4949999999752499,0.4449999999777499,11053.915253400804,184.23192089001336,60.0,0.6938711844227508,
nwpu,320,2.0,0.0,4.0,1.0,0.619999999969,0.619999999969,4278.992850065231,71.31654750108719,19.0,0.6877642488264688,
nwpu,2560,1.0,0.0,3.0,2.0,0.56499999997175,0.5499999999724999,11926.710134267809,198.7785022377968,60.0,0.6936744276624729,
nwpu,2560,1.0,0.0,3.0,3.0,0.6099999999694999,0.6099999999694999,11942.1688144207,199.03614690701167,59.0,0.6799260285638735,
nwpu,320,2.0,0.0,4.0,2.0,0.6099999999694999,0.6099999999694999,4097.622931003571,68.29371551672618,19.0,0.6872198259615718,
nwpu,320,2.0,0.0,4.0,3.0,0.63499999996825,0.63499999996825,4744.043064832687,79.06738441387812,28.0,0.6836409324193939,
nwpu,5120,1.0,0.0,3.0,3.0,0.6399999999679999,0.60499999996975,12131.278167247772,202.1879694541296,60.0,0.6832288320802338,
nwpu,2560,1.0,0.0,3.0,1.0,0.55499999997225,0.559999999972,13549.031253814695,225.8171875635783,50.0,0.6934208981138301,
nwpu,1280,1.0,0.0,4.0,1.0,0.6099999999694999,0.6099999999694999,13945.794579029083,232.42990965048472,60.0,0.6865734318834947,
nwpu,5120,1.0,0.0,3.0,2.0,0.52499999997375,0.48499999997575,12371.057542562485,206.1842923760414,60.0,0.6972934053680804,
nwpu,640,2.0,0.0,3.0,1.0,0.6399999999679999,0.66499999996675,5840.795530557632,97.34659217596054,60.0,0.6855034589660346,
nwpu,640,2.0,0.0,3.0,2.0,0.60499999996975,0.6399999999679999,5900.027364253998,98.3337894042333,50.0,0.6828476935518382,
nwpu,640,2.0,0.0,3.0,3.0,0.619999999969,0.6399999999679999,6074.345857858658,101.23909763097762,39.0,0.6830744576347432,
nwpu,2560,1.0,0.0,4.0,1.0,0.58499999997075,0.58499999997075,14976.412006139755,249.606866768996,58.0,0.6925720472278101,
nwpu,1280,1.0,0.0,4.0,2.0,0.6299999999685,0.6299999999685,16594.688902378082,276.57814837296803,60.0,0.685031158997867,
nwpu,1280,1.0,0.0,4.0,3.0,0.62499999996875,0.62499999996875,17035.480630874634,283.9246771812439,41.0,0.6767670049610961,
nwpu,5120,1.0,0.0,4.0,1.0,0.4799999999759999,0.4799999999759999,15089.83749628067,251.49729160467783,60.0,0.6932303347529816,
nwpu,20,3.0,0.0,3.0,1.0,0.549999999725,0.5999999997,263.2199845314026,4.386999742190043,16.0,0.6854010888487363,
nwpu,2560,1.0,0.0,4.0,3.0,0.63499999996825,0.63499999996825,16499.749915361404,274.99583192269006,59.0,0.6789552284819926,
nwpu,20,3.0,0.0,3.0,2.0,0.3999999998,0.49999999975,209.50620555877688,3.491770092646281,16.0,0.6859704127458133,
