epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,phi
0,-0.2804521322250366,-0.45568400621414185,-0.5777607560157776,-0.5657579898834229,-0.6490606069564819,-0.6089580059051514,0.452361136674881,0.5395293235778809,-0.48925796151161194,0.48339593410491943,-0.42777156829833984,0.20937445759773254,0.6096879839897156,-0.13999764621257782,0.5128422379493713,0.4122113585472107,0.0
1,-0.2647424638271332,-0.6172399520874023,-0.8410657644271851,-0.9465084075927734,-1.1105695962905884,-0.9923500418663025,0.3345295786857605,0.7085275650024414,-0.8416022062301636,0.524918794631958,-0.5549345016479492,0.47874024510383606,0.9825552105903625,-0.751284658908844,0.6772676110267639,0.6096176505088806,0.0
2,0.15485307574272156,-0.48493432998657227,-1.2694791555404663,-1.2646760940551758,-1.508228063583374,-1.3999314308166504,0.27489736676216125,0.6959434151649475,-1.1677796840667725,0.5050265789031982,-0.49298030138015747,0.5879007577896118,1.1653660535812378,-1.3768398761749268,0.6123743057250977,0.6754324436187744,0.0
3,0.617405891418457,-0.6982162594795227,-1.609351396560669,-1.5751234292984009,-1.575932264328003,-1.473191499710083,-0.09022814780473709,0.6907509565353394,-1.478676199913025,0.51606285572052,-0.4873764216899872,1.074986219406128,1.069602131843567,-1.904620885848999,0.5727673172950745,0.8392826914787292,0.0
4,1.013845443725586,-1.1041250228881836,-1.6138477325439453,-1.6627302169799805,-1.4254910945892334,-1.5071680545806885,-0.32483232021331787,0.6909233927726746,-1.7481772899627686,0.5579714775085449,-0.42971938848495483,1.4455674886703491,0.7905713319778442,-2.2849457263946533,0.5752220153808594,0.9939256906509399,0.0
5,1.3331326246261597,-1.3561303615570068,-1.5655674934387207,-1.6204112768173218,-1.297495722770691,-1.4983882904052734,-0.28950947523117065,0.725034773349762,-1.9996377229690552,0.628202497959137,-0.3533152639865875,1.5650901794433594,0.5041589140892029,-2.7009975910186768,0.5367294549942017,1.109470009803772,0.0
6,1.489736557006836,-1.4919278621673584,-1.5570547580718994,-1.5942343473434448,-1.3195208311080933,-1.6020286083221436,-0.12556855380535126,0.7409631609916687,-2.12579083442688,0.6999791264533997,-0.3313288688659668,1.5701035261154175,0.2182522565126419,-3.031511068344116,0.5878766775131226,1.207728624343872,0.0
7,1.547156572341919,-1.5495353937149048,-1.5660103559494019,-1.5760126113891602,-1.399590015411377,-1.6196370124816895,-0.05349089577794075,0.6725096702575684,-2.267136335372925,0.7585014700889587,-0.20431675016880035,1.5711301565170288,-0.0030981283634901047,-3.4012582302093506,0.5591468811035156,1.1699129343032837,0.0
8,1.565648078918457,-1.5664243698120117,-1.5693646669387817,-1.5717952251434326,-1.4503402709960938,-1.5870215892791748,0.050269439816474915,0.6175153255462646,-2.2790231704711914,0.7914485335350037,-0.16437791287899017,1.5708868503570557,-0.11561405658721924,-3.657705068588257,0.5671660900115967,1.162619709968567,0.0
9,1.570291519165039,-1.5704119205474854,-1.5706356763839722,-1.5709329843521118,-1.3993091583251953,-1.4741877317428589,0.203765407204628,0.6328519582748413,-2.248701333999634,0.7921711802482605,-0.17542023956775665,1.5708019733428955,-0.3464885354042053,-3.812858819961548,0.5730040073394775,1.2235937118530273,0.0
10,1.5707738399505615,-1.5707693099975586,-1.5707963705062866,-1.5708028078079224,-1.4638973474502563,-1.4994804859161377,0.2558608651161194,0.601771891117096,-2.274523973464966,0.8429769277572632,-0.1253284215927124,1.570796012878418,-0.3813955783843994,-3.894443988800049,0.5427053570747375,1.2056527137756348,0.0
11,1.5707955360412598,-1.5707956552505493,-1.5707963705062866,-1.5707968473434448,-1.415424108505249,-1.4205834865570068,0.3662753105163574,0.6322635412216187,-2.216853618621826,0.8275318145751953,-0.15385407209396362,1.5707963705062866,-0.5058355927467346,-3.9436159133911133,0.5565587282180786,1.2647583484649658,0.0
12,1.5707966089248657,-1.5707964897155762,-1.5707963705062866,-1.570796251296997,-1.559944748878479,-1.5363571643829346,0.40645235776901245,0.6051217913627625,-2.298412322998047,0.866404116153717,-0.0938936397433281,1.5707963705062866,-0.43577829003334045,-3.9578857421875,0.4363715648651123,1.2293965816497803,0.0
13,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.570796251296997,-1.5268586874008179,-1.5108354091644287,0.458930641412735,0.5954304337501526,-2.300269365310669,0.8917632699012756,-0.07130690664052963,1.5707963705062866,-0.4515487551689148,-3.959346294403076,0.42775067687034607,1.2264286279678345,0.0
14,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.570796251296997,-1.4612338542938232,-1.4332385063171387,0.5452678799629211,0.6402568817138672,-2.211061716079712,0.8332487940788269,-0.1174917072057724,1.5707963705062866,-0.5573812127113342,-3.9798777103424072,0.4911615550518036,1.2912869453430176,0.0
15,1.5707963705062866,-1.5707963705062866,-1.5707963705062866,-1.570796251296997,-1.6255042552947998,-1.5951842069625854,0.49064233899116516,0.5565674901008606,-2.3135030269622803,0.9040147066116333,-0.010815364308655262,1.5707963705062866,-0.4186687171459198,-3.960756301879883,0.32878491282463074,1.1987780332565308,0.0
