dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,20,1,0,3,1,0.7999999996,0.549999999725,294.27875995635986,4.904645999272664,13
mnist,20,1,0,3,3,0.749999999625,0.5999999997,293.95855021476746,4.8993091702461244,32
mnist,20,1,0,3,2,0.8499999995749999,0.49999999975,332.33736205101013,5.538956034183502,13
mnist,20,1,0,4,2,0.749999999625,0.749999999625,334.82033228874207,5.580338871479034,13
mnist,20,1,0,4,1,0.549999999725,0.549999999725,356.87255120277405,5.947875853379568,32
mnist,20,1,0,4,3,0.7999999996,0.7999999996,491.8195595741272,8.196992659568787,28
mnist,40,1,0,3,1,0.92499999976875,0.62499999984375,549.1296484470367,9.152160807450612,13
mnist,40,1,0,3,3,0.9499999997624999,0.72499999981875,565.3310806751251,9.422184677918752,23
mnist,40,1,0,4,3,0.92499999976875,0.92499999976875,682.1789331436157,11.369648885726928,23
mnist,40,1,0,4,2,0.92499999976875,0.92499999976875,757.2933752536774,12.621556254227956,26
mnist,40,1,0,3,2,0.59999999985,0.62499999984375,870.4297153949738,14.507161923249562,13
mnist,40,1,0,4,1,0.6999999998249999,0.6999999998249999,985.8325192928314,16.430541988213857,53
mnist,80,1,0,3,2,0.5999999999250001,0.54999999993125,1093.5725948810577,18.226209914684297,17
mnist,80,1,0,3,3,0.9499999998812501,0.7374999999078126,1134.094479084015,18.90157465140025,37
mnist,80,1,0,3,1,0.9624999998796876,0.724999999909375,1249.8095121383667,20.830158535639445,8
mnist,80,1,0,4,2,0.974999999878125,0.974999999878125,1369.9232783317566,22.83205463886261,17
mnist,160,1,0,3,3,0.9874999999382812,0.69999999995625,1999.4799242019653,33.32466540336609,32
mnist,80,1,0,4,1,0.6124999999234375,0.6124999999234375,2164.645740747452,36.07742901245753,25
mnist,160,1,0,3,2,0.8624999999460937,0.6374999999601563,2174.139393091202,36.23565655152003,21
mnist,80,1,0,4,3,0.8124999998984376,0.8124999998984376,2204.5938053131104,36.74323008855184,22
mnist,160,1,0,4,1,0.6124999999617187,0.6124999999617187,2424.062106847763,40.401035114129385,21
mnist,160,1,0,4,2,0.8874999999445312,0.8874999999445312,2708.8216621875763,45.14702770312627,35
mnist,160,1,0,3,1,0.9624999999398437,0.6687499999582031,3251.4671449661255,54.19111908276876,32
mnist,160,1,0,4,3,0.9374999999414062,0.9374999999414062,3958.6438138484955,65.97739689747492,12
mnist,320,1,0,3,3,0.9624999999699219,0.6531249999795898,4144.623450517654,69.07705750862758,12
mnist,320,1,0,3,2,0.9218749999711914,0.5468749999829101,4644.297410488129,77.40495684146882,19
mnist,320,1,0,3,1,0.9656249999698242,0.6312499999802734,5115.846369981766,85.26410616636277,24
mnist,320,1,0,4,1,0.6124999999808594,0.6124999999808594,5180.044240951538,86.33407068252563,19
mnist,20,2,0,3,1,0.8499999995749999,0.549999999725,263.5232903957367,4.392054839928945,13
mnist,20,2,0,3,2,0.6999999996499999,0.549999999725,267.545991897583,4.459099864959716,32
