dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
mnist,20.0,1.0,0.0,3.0,1.0,0.7999999996,0.549999999725,294.27875995635986,4.904645999272664,13.0,0.6097277876666326
mnist,20.0,1.0,0.0,3.0,3.0,0.749999999625,0.5999999997,293.95855021476746,4.8993091702461244,32.0,0.5284402951936198
mnist,20.0,1.0,0.0,3.0,2.0,0.8499999995749999,0.49999999975,332.33736205101013,5.538956034183502,13.0,0.6198731467008666
mnist,20.0,1.0,0.0,4.0,2.0,0.749999999625,0.749999999625,334.82033228874207,5.580338871479034,13.0,0.642954815304667
mnist,20.0,1.0,0.0,4.0,1.0,0.549999999725,0.549999999725,356.87255120277405,5.947875853379568,32.0,0.6621176841524693
mnist,20.0,1.0,0.0,4.0,3.0,0.7999999996,0.7999999996,491.8195595741272,8.196992659568787,28.0,0.5981842342008392
mnist,40.0,1.0,0.0,3.0,1.0,0.92499999976875,0.62499999984375,549.1296484470367,9.152160807450612,13.0,0.5957680581510763
mnist,40.0,1.0,0.0,3.0,3.0,0.9499999997625,0.72499999981875,565.3310806751251,9.422184677918752,23.0,0.5100274767196649
mnist,40.0,1.0,0.0,4.0,3.0,0.92499999976875,0.92499999976875,682.1789331436157,11.369648885726928,23.0,0.615856555546338
mnist,40.0,1.0,0.0,4.0,2.0,0.92499999976875,0.92499999976875,757.2933752536774,12.621556254227956,26.0,0.6551153401882794
mnist,40.0,1.0,0.0,3.0,2.0,0.59999999985,0.62499999984375,870.4297153949738,14.507161923249562,13.0,0.6143926386489302
mnist,40.0,1.0,0.0,4.0,1.0,0.6999999998249999,0.6999999998249999,985.8325192928314,16.430541988213857,53.0,0.6620509086384271
mnist,80.0,1.0,0.0,3.0,2.0,0.5999999999250001,0.54999999993125,1093.5725948810575,18.226209914684297,17.0,0.6137469189591932
mnist,80.0,1.0,0.0,3.0,3.0,0.94999999988125,0.7374999999078126,1134.094479084015,18.90157465140025,37.0,0.5055151414239323
mnist,80.0,1.0,0.0,3.0,1.0,0.9624999998796876,0.724999999909375,1249.8095121383667,20.830158535639445,8.0,0.5912258046126431
mnist,80.0,1.0,0.0,4.0,2.0,0.974999999878125,0.974999999878125,1369.9232783317566,22.83205463886261,17.0,0.6292527275490976
mnist,160.0,1.0,0.0,3.0,3.0,0.9874999999382812,0.69999999995625,1999.479924201965,33.32466540336609,32.0,0.5191209616932667
mnist,80.0,1.0,0.0,4.0,1.0,0.6124999999234375,0.6124999999234375,2164.645740747452,36.07742901245753,25.0,0.6469709556486133
mnist,160.0,1.0,0.0,3.0,2.0,0.8624999999460937,0.6374999999601563,2174.139393091202,36.23565655152003,21.0,0.6073376488306022
mnist,80.0,1.0,0.0,4.0,3.0,0.8124999998984376,0.8124999998984376,2204.5938053131104,36.74323008855184,22.0,0.5995509427036435
mnist,160.0,1.0,0.0,4.0,1.0,0.6124999999617187,0.6124999999617187,2424.062106847763,40.401035114129385,21.0,0.6476311790538375
