dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,1280,1,0,3,1,0.37333333333022223,0.3608333333303264,12498.039588928223,208.30065981547037
eurosat,1280,1,0,3,1,0.37333333333022223,0.3608333333303264,12498.039588928223,208.30065981547037
eurosat,1280,1,0,3,2,0.5008333333291598,0.46666666666277784,12195.957564353943,203.26595940589905
eurosat,1280,1,0,3,2,0.5008333333291598,0.46666666666277784,12195.957564353943,203.26595940589905
eurosat,1280,1,0,3,3,0.43666666666302784,0.4374999999963542,12505.814846992493,208.43024744987488
eurosat,1280,1,0,3,3,0.43666666666302784,0.4374999999963542,12505.814846992493,208.43024744987488
eurosat,1280,1,0,4,1,0.39166666666340283,0.39166666666340283,21262.43488240242,354.373914706707
eurosat,1280,1,0,4,1,0.39166666666340283,0.39166666666340283,21262.43488240242,354.373914706707
eurosat,1280,1,0,4,2,0.5199999999956667,0.5199999999956667,23577.9396648407,392.96566108067833
eurosat,1280,1,0,4,2,0.5199999999956667,0.5199999999956667,23577.9396648407,392.96566108067833
eurosat,1280,1,0,4,3,0.4433333333296389,0.4433333333296389,28968.81814980507,482.8136358300845
eurosat,1280,1,0,4,3,0.4433333333296389,0.4433333333296389,28968.81814980507,482.8136358300845
eurosat,1280,2,0,3,1,0.3983333333300139,0.4008333333299931,25208.583693742752,420.1430615623792
eurosat,1280,2,0,3,1,0.3983333333300139,0.4008333333299931,25208.583693742752,420.1430615623792
eurosat,1280,2,0,3,2,0.3908333333300764,0.39916666666334033,32173.240505695343,536.2206750949224
eurosat,1280,2,0,3,2,0.3908333333300764,0.39916666666334033,32173.240505695343,536.2206750949224
eurosat,1280,2,0,3,3,0.43666666666302784,0.4099999999965834,26885.956357240677,448.09927262067794
eurosat,1280,2,0,3,3,0.43666666666302784,0.4099999999965834,26885.956357240677,448.09927262067794
eurosat,1280,2,0,4,1,0.45583333332953474,0.45583333332953474,38470.17835378647,641.1696392297745
eurosat,1280,2,0,4,1,0.45583333332953474,0.45583333332953474,38470.17835378647,641.1696392297745
eurosat,1280,2,0,4,2,0.5049999999957917,0.5049999999957917,40959.19405722618,682.653234287103
eurosat,1280,2,0,4,2,0.5049999999957917,0.5049999999957917,40959.19405722618,682.653234287103
eurosat,1280,2,0,4,3,0.42416666666313196,0.42416666666313196,44386.17168164253,739.7695280273755
eurosat,1280,2,0,4,3,0.42416666666313196,0.42416666666313196,44386.17168164253,739.7695280273755
eurosat,1280,3,0,3,2,0.5174999999956875,0.5133333333290556,27434.752932071686,457.2458822011948
eurosat,1280,3,0,3,2,0.5174999999956875,0.5133333333290556,27434.752932071686,457.2458822011948
eurosat,160,1,0,3,1,0.48749999996953125,0.4687499999707031,1436.7745730876923,23.94624288479487
eurosat,160,1,0,3,1,0.48749999996953125,0.4687499999707031,1436.7745730876923,23.94624288479487
eurosat,160,1,0,3,2,0.48124999996992185,0.4749999999703125,1838.7364735603333,30.64560789267222
eurosat,160,1,0,3,2,0.48124999996992185,0.4749999999703125,1838.7364735603333,30.64560789267222
eurosat,160,1,0,3,3,0.48124999996992185,0.48749999996953125,1618.4779131412506,26.97463188568751
eurosat,160,1,0,3,3,0.48124999996992185,0.48749999996953125,1618.4779131412506,26.97463188568751
eurosat,160,1,0,4,1,0.48124999996992185,0.48124999996992185,2050.1325600147247,34.16887600024541
eurosat,160,1,0,4,1,0.48124999996992185,0.48124999996992185,2050.1325600147247,34.16887600024541
eurosat,160,1,0,4,2,0.4749999999703125,0.4749999999703125,2158.438290834427,35.97397151390712
eurosat,160,1,0,4,2,0.4749999999703125,0.4749999999703125,2158.438290834427,35.97397151390712
eurosat,160,1,0,4,3,0.4749999999703125,0.4749999999703125,2184.7726583480835,36.41287763913473
eurosat,160,1,0,4,3,0.4749999999703125,0.4749999999703125,2184.7726583480835,36.41287763913473
eurosat,160,2,0,3,1,0.4937499999691406,0.48749999996953125,1602.5647735595703,26.709412892659504
eurosat,160,2,0,3,1,0.4937499999691406,0.48749999996953125,1602.5647735595703,26.709412892659504
eurosat,160,2,0,3,2,0.4937499999691406,0.4749999999703125,1544.0569796562195,25.734282994270323
eurosat,160,2,0,3,2,0.4937499999691406,0.4749999999703125,1544.0569796562195,25.734282994270323
eurosat,160,2,0,3,3,0.4749999999703125,0.4749999999703125,1719.6969532966614,28.66161588827769
eurosat,160,2,0,3,3,0.4749999999703125,0.4749999999703125,1719.6969532966614,28.66161588827769
eurosat,160,2,0,4,1,0.4749999999703125,0.4749999999703125,1993.452637910843,33.224210631847384
eurosat,160,2,0,4,1,0.4749999999703125,0.4749999999703125,1993.452637910843,33.224210631847384
eurosat,160,2,0,4,2,0.4749999999703125,0.4749999999703125,2032.2223091125488,33.87037181854248
eurosat,160,2,0,4,2,0.4749999999703125,0.4749999999703125,2032.2223091125488,33.87037181854248
eurosat,160,2,0,4,3,0.4749999999703125,0.4749999999703125,2090.4805850982666,34.84134308497111
eurosat,160,2,0,4,3,0.4749999999703125,0.4749999999703125,2090.4805850982666,34.84134308497111
eurosat,160,3,0,3,1,0.48749999996953125,0.4937499999691406,3490.7646672725677,58.17941112120946
eurosat,160,3,0,3,1,0.48749999996953125,0.4937499999691406,3490.7646672725677,58.17941112120946
eurosat,160,3,0,3,2,0.48749999996953125,0.5249999999671875,3526.0478467941284,58.76746411323548
eurosat,160,3,0,3,2,0.48749999996953125,0.5249999999671875,3526.0478467941284,58.76746411323548
eurosat,160,3,0,3,3,0.48124999996992185,0.4749999999703125,3230.8567929267883,53.84761321544647
eurosat,160,3,0,3,3,0.48124999996992185,0.4749999999703125,3230.8567929267883,53.84761321544647
eurosat,160,3,0,4,1,0.49999999996875,0.49999999996875,4530.900470972061,75.51500784953436
eurosat,160,3,0,4,1,0.49999999996875,0.49999999996875,4530.900470972061,75.51500784953436
eurosat,160,3,0,4,2,0.5062499999683594,0.5062499999683594,5039.037821769714,83.98396369616191
eurosat,160,3,0,4,2,0.5062499999683594,0.5062499999683594,5039.037821769714,83.98396369616191
eurosat,160,3,0,4,3,0.4749999999703125,0.4749999999703125,5484.249132156372,91.4041522026062
eurosat,160,3,0,4,3,0.4749999999703125,0.4749999999703125,5484.249132156372,91.4041522026062
eurosat,160,4,0,3,1,0.5124999999679687,0.5062499999683594,3579.9024097919464,59.66504016319911
