N,seed,non_equivariance,p_err,max_val_acc,max_epoch
20,42,0,0.0,0.9,17
20,42,0,0.01,0.9,15
20,42,0,0.02,0.9,15
20,42,0,0.03,0.9,15
20,42,0,0.04,0.9,15
20,42,0,0.05,0.9,16
20,42,0,0.06,0.9,16
20,42,0,0.07,0.9,16
20,42,0,0.08,0.9,17
20,42,0,0.09,0.9,17
20,42,0,0.1,0.9,17
20,42,1,0.0,0.95,9
20,42,1,0.01,0.949999999525,12
20,42,1,0.02,0.85,10
20,42,1,0.03,0.85,11
20,42,1,0.04,0.8,12
20,42,1,0.05,0.75,12
20,42,1,0.06,0.7,17
20,42,1,0.07,0.7,23
20,42,1,0.08,0.65,23
20,42,1,0.09,0.65,35
20,42,1,0.1,0.6,1
20,42,2,0.0,0.95,11
20,42,2,0.01,0.95,12
20,42,2,0.02,0.85,10
20,42,2,0.03,0.85,11
20,42,2,0.04,0.8,11
20,42,2,0.05,0.8,11
20,42,2,0.06,0.7,12
20,42,2,0.07,0.7,15
20,42,2,0.08,0.7,19
20,42,2,0.09,0.7,23
20,42,2,0.1,0.65,23
20,42,3,0.0,0.8,39
20,42,3,0.01,0.8,38
20,42,3,0.02,0.8,38
20,42,3,0.03,0.75,38
20,42,3,0.04,0.75,38
20,42,3,0.05,0.7,38
20,42,3,0.06,0.7,39
20,42,3,0.07,0.6,6
20,42,3,0.08,0.6,6
20,42,3,0.09,0.6,6
20,42,3,0.1,0.65,7
20,42,4,0.0,0.949999999525,7
20,42,4,0.01,0.949999999525,7
20,42,4,0.02,0.949999999525,5
20,42,4,0.03,0.949999999525,6
20,42,4,0.04,0.949999999525,6
20,42,4,0.05,0.949999999525,4
20,42,4,0.06,0.89999999955,4
20,42,4,0.07,0.89999999955,4
20,42,4,0.08,0.949999999525,3
20,42,4,0.09,0.949999999525,3
20,42,4,0.1,0.949999999525,6
40,42,0,0.0,0.6999999998249999,19
40,42,0,0.01,0.6999999998249999,20
40,42,0,0.02,0.67499999983125,12
40,42,0,0.03,0.67499999983125,13
40,42,0,0.04,0.67499999983125,13
40,42,0,0.05,0.6999999998249999,14
40,42,0,0.06,0.6999999998249999,14
40,42,0,0.07,0.6999999998249999,14
40,42,0,0.08,0.6999999998249999,15
40,42,0,0.09,0.6999999998249999,15
40,42,0,0.1,0.6999999998249999,16
40,42,1,0.0,0.8249999997937499,12
40,42,1,0.01,0.7999999998,12
40,42,1,0.02,0.7499999998125,9
40,42,1,0.03,0.72499999981875,11
40,42,1,0.04,0.67499999983125,12
40,42,1,0.05,0.59999999985,14
40,42,1,0.06,0.5749999998562499,14
40,42,1,0.07,0.5499999998625,11
40,42,1,0.08,0.52499999986875,1
40,42,1,0.09,0.52499999986875,1
40,42,1,0.1,0.52499999986875,1
40,42,2,0.0,0.8499999997875,12
40,42,2,0.01,0.7999999998,9
40,42,2,0.02,0.7499999998125,9
40,42,2,0.03,0.72499999981875,25
40,42,2,0.04,0.72499999981875,13
40,42,2,0.05,0.67499999983125,11
40,42,2,0.06,0.6499999998375,11
40,42,2,0.07,0.6499999998375,11
40,42,2,0.08,0.62499999984375,11
40,42,2,0.09,0.62499999984375,11
40,42,2,0.1,0.5749999998562499,11
40,42,3,0.0,0.62499999984375,5
40,42,3,0.01,0.59999999985,5
40,42,3,0.02,0.59999999985,5
40,42,3,0.03,0.59999999985,5
40,42,3,0.04,0.59999999985,5
40,42,3,0.05,0.5749999998562499,5
40,42,3,0.06,0.5749999998562499,4
40,42,3,0.07,0.5749999998562499,3
40,42,3,0.08,0.5749999998562499,3
40,42,3,0.09,0.5749999998562499,3
40,42,3,0.1,0.5749999998562499,3
40,42,4,0.01,0.92499999976875,16
40,42,4,0.02,0.92499999976875,16
40,42,4,0.03,0.92499999976875,16
40,42,4,0.04,0.92499999976875,7
40,42,4,0.05,0.92499999976875,5
40,42,4,0.06,0.92499999976875,5
40,42,4,0.07,0.92499999976875,37
40,42,4,0.08,0.899999999775,5
40,42,4,0.09,0.92499999976875,6
40,42,4,0.1,0.92499999976875,6
80,42,0,0.0,0.7624999999046875,18
80,42,0,0.01,0.7624999999046875,16
80,42,0,0.02,0.7624999999046875,16
80,42,0,0.03,0.7499999999062501,17
80,42,0,0.04,0.7499999999062501,7
80,42,0,0.05,0.7624999999046875,19
80,42,0,0.06,0.7749999999031251,21
80,42,0,0.07,0.7749999999031251,24
80,42,0,0.08,0.7874999999015626,31
80,42,0,0.09,0.7999999999,29
80,42,0,0.1,0.8124999998984376,35
80,42,1,0.0,0.8374999998953125,14
80,42,1,0.01,0.8124999998984376,30
80,42,1,0.02,0.7874999999015626,13
80,42,1,0.03,0.7749999999031251,21
80,42,1,0.04,0.724999999909375,30
80,42,1,0.05,0.6999999999125001,15
80,42,1,0.06,0.6624999999171876,15
80,42,1,0.07,0.6124999999234375,1
80,42,1,0.08,0.5999999999250001,1
80,42,1,0.09,0.5374999999328125,1
80,42,1,0.1,0.5624999999296876,1
80,42,2,0.0,0.8374999998953125,28
80,42,2,0.01,0.8124999998984376,30
80,42,2,0.02,0.7749999999031251,8
80,42,2,0.03,0.7499999999062501,8
80,42,2,0.04,0.7499999999062501,12
80,42,2,0.05,0.724999999909375,30
80,42,2,0.06,0.6999999999125001,15
80,42,2,0.07,0.6624999999171876,22
80,42,2,0.08,0.5874999999265625,1
80,42,2,0.09,0.54999999993125,1
80,42,2,0.1,0.54999999993125,1
80,42,3,0.0,0.7749999999031251,7
80,42,3,0.01,0.7624999999046875,7
80,42,3,0.02,0.7624999999046875,7
80,42,3,0.03,0.7374999999078126,7
80,42,3,0.04,0.6999999999125001,9
80,42,3,0.05,0.6749999999156251,38
80,42,3,0.06,0.6749999999156251,38
80,42,3,0.07,0.6624999999171876,39
80,42,3,0.08,0.64999999991875,4
