Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 0.9000 (at epoch 18)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 1.0000 (at epoch 8)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 0.9500 (at epoch 9)
Seed: 5678, Sample size: 20, Non equivariance: 0, Noise: 0, Test Accuracy: 0.9000 (at epoch 22)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 0.9000 (at epoch 16)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 1.0000 (at epoch 19)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 0.9500 (at epoch 9)
Seed: 5678, Sample size: 20, Non equivariance: 0, Noise: 0.01, Test Accuracy: 0.9000 (at epoch 20)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9000 (at epoch 16)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9500 (at epoch 20)
Seed: 5678, Sample size: 20, Non equivariance: 0, Noise: 0.02, Test Accuracy: 0.9000 (at epoch 19)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9000 (at epoch 16)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9000 (at epoch 18)
Seed: 5678, Sample size: 20, Non equivariance: 0, Noise: 0.03, Test Accuracy: 0.9000 (at epoch 18)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9000 (at epoch 16)
Seed: 101, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9500 (at epoch 5)
Seed: 1234, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9000 (at epoch 20)
Seed: 5678, Sample size: 20, Non equivariance: 0, Noise: 0.04, Test Accuracy: 0.9000 (at epoch 19)
Seed: 42, Sample size: 20, Non equivariance: 0, Noise: 0.05, Test Accuracy: 0.9000 (at epoch 17)
