epoch,train_loss,val_loss,train_acc,val_acc
0,0.6991565154594164,0.6954389492871612,0.15,0.2
1,0.6915893855925913,0.6918184524579682,0.55,0.5
2,0.6887212350821008,0.6911862183296149,0.7,0.55
3,0.6883450856210369,0.6910127796231403,0.7,0.55
4,0.6881606765360729,0.6907663893992015,0.75,0.6
5,0.6879221394820288,0.6904947996373609,0.75,0.6
6,0.687643586631996,0.6901690662057764,0.75,0.65
7,0.687365195757469,0.6898527728652936,0.75,0.7
8,0.6870983597432956,0.6895221770347513,0.75,0.75
9,0.6867267651916864,0.6892351826716931,0.75,0.75
10,0.6863624835488238,0.6888654791065585,0.75,0.75
11,0.6860265895157884,0.6885895936805184,0.75,0.7
12,0.6856211502021211,0.6882539346345515,0.75,0.7
13,0.6852321843171573,0.6877634239903124,0.75,0.65
14,0.6846352631844244,0.6872540909214793,0.8,0.7
15,0.684156998624704,0.6866762620421694,0.7,0.8
16,0.6836761101020634,0.6859943608819868,0.75,0.9
17,0.6833515477636252,0.685490933703275,0.8,0.9
18,0.6830868008279661,0.6851809722846653,0.8,0.9
19,0.6829693955560451,0.6848137833819725,0.8,0.85
20,0.6828840252964372,0.6845887662488404,0.8,0.85
21,0.6827416447728438,0.6844710885346021,0.8,0.85
22,0.6827421532104754,0.684378858525986,0.8,0.85
23,0.6826841169637621,0.6842424753589589,0.8,0.85
24,0.6826029914470726,0.684094888077022,0.8,0.85
25,0.68260086409394,0.6840441156152466,0.8,0.85
26,0.6825144558192959,0.6839793447042543,0.8,0.85
27,0.6824662502559942,0.6838929331383571,0.8,0.85
28,0.6824019348348385,0.6838346059197458,0.8,0.85
29,0.6823682506538671,0.6837726492598841,0.8,0.85
30,0.6823518610759689,0.6837184937473842,0.8,0.85
31,0.6822616899347965,0.6836579294300771,0.8,0.85
32,0.682190313544853,0.6835834842341765,0.8,0.85
33,0.6821750768470858,0.6835295606925994,0.8,0.85
34,0.6821531641335761,0.6834573477853257,0.8,0.85
35,0.6821232216333565,0.6834321228671448,0.8,0.85
36,0.6820218077036763,0.6833636781147664,0.8,0.85
37,0.6819894568553683,0.6833275536903438,0.8,0.85
38,0.6819823284366965,0.6832912082440101,0.8,0.85
39,0.6819036641059024,0.6832306756917687,0.8,0.85
